LED1 Timestamp (ms),LED1_PD1,LED1_PD2,LED2 Timestamp (ms),LED2_PD1,LED2_PD2
46500,1864,-31,46510,1337,-38
46520,1905,-39,46530,1270,-29
46540,1827,-14,46550,1287,-32
46560,1933,-33,46570,1348,-38
46580,1874,-34,46590,1242,-30
46600,1876,-27,46610,1345,-32
46620,1921,-33,46630,1276,-32
46640,1817,-26,46650,1283,-29
46660,1928,-29,46670,1330,-38
46680,1883,-33,46690,1243,-30
46700,1866,-31,46710,1356,-40
46720,1899,-35,46730,1316,-31
46740,1820,-29,46750,1307,-28
46760,1937,-20,46770,1325,-31
46780,1870,-31,46790,1244,-20
46800,1861,-28,46810,1350,-30
46820,1912,-32,46830,1293,-32
46840,1815,-29,46850,1297,-20
46860,1962,-34,46870,1346,-28
46880,1861,-23,46890,1238,-25
46900,1866,-22,46910,1353,-31
46920,1907,-32,46930,1276,-27
46940,1825,-27,46950,1299,-21
46960,1926,-26,46970,1329,-25
46980,1869,-21,46990,1245,-22
47000,1873,-23,47010,1339,-34
47020,1922,-25,47030,1293,-29
47040,1814,-30,47050,1304,-37
47060,1925,-22,47070,1325,-27
47080,1861,-28,47090,1244,-20
47100,1878,-40,47110,1349,-28
47120,1914,-19,47130,1285,-32
47140,1825,-33,47150,1320,-20
47160,1934,-19,47170,1319,-31
47180,1859,-34,47190,1244,-30
47200,1861,-33,47210,1343,-21
47220,1928,-31,47230,1287,-28
47240,1828,-34,47250,1294,-26
47260,1921,-24,47270,1348,-29
47280,1869,-19,47290,1247,-31
47300,1879,-28,47310,1370,-25
47320,1927,-32,47330,1272,-28
47340,1814,-36,47350,1297,-30
47360,1928,-27,47370,1329,-24
47380,1863,-31,47390,1241,-36
47400,1862,-34,47410,1345,-37
47420,1908,-29,47430,1283,-38
47440,1847,-32,47450,1293,-29
47460,1936,-23,47470,1335,-29
47480,1858,-25,47490,1234,-30
47500,1861,-34,47510,1340,-31
47520,1898,-32,47530,1282,-28
47540,1817,-25,47550,1291,-33
47560,1925,-24,47570,1323,-32
47580,1861,-27,47590,1244,-29
47600,1870,-24,47610,1333,-25
47620,1899,-28,47630,1283,-29
47640,1803,-31,47650,1293,-29
47660,1924,-23,47670,1334,-36
47680,1874,-27,47690,1239,-27
47700,1845,-34,47710,1354,-26
47720,1901,-29,47730,1308,-30
47740,1821,-26,47750,1293,-24
47760,1931,-19,47770,1338,-32
47780,1860,-33,47790,1232,-33
47800,1876,-26,47810,1354,-27
47820,1908,-31,47830,1283,-29
47840,1818,-21,47850,1282,-34
47860,1934,-28,47870,1312,-27
47880,1868,-36,47890,1246,-29
47900,1885,-42,47910,1361,-35
47920,1908,-31,47930,1285,-33
47940,1835,-30,47950,1314,-29
47960,1915,-34,47970,1311,-35
47980,1851,-33,47990,1212,-21
48000,1874,-32,48010,1352,-22
48020,1929,-25,48030,1283,-29
48040,1822,-30,48050,1300,-28
48060,1939,-28,48070,1339,-26
48080,1856,-30,48090,1256,-32
48100,1892,-21,48110,1351,-26
48120,1909,-26,48130,1275,-31
48140,1825,-31,48150,1308,-23
48160,1926,-32,48170,1338,-30
48180,1861,-25,48190,1238,-40
