LED1 Timestamp (ms),LED1_PD1,LED1_PD2,LED2 Timestamp (ms),LED2_PD1,LED2_PD2
5000,12875,6509,5010,13063,6296
5020,12873,6547,5030,13052,6299
5040,12877,6451,5050,13059,6548
5060,12950,6286,5070,13128,6621
5080,12948,6292,5090,13125,6516
5100,12941,6543,5110,13130,6336
5120,12943,6586,5130,13134,6336
5140,12927,6460,5150,13125,6582
5160,12940,6285,5170,13129,6618
5180,12940,6286,5190,13127,6524
5200,12939,6545,5210,13134,6332
5220,12946,6572,5230,13132,6332
5240,12940,6470,5250,13124,6587
5260,12937,6285,5270,13132,6622
5280,12937,6287,5290,13127,6516
5300,12942,6536,5310,13126,6333
5320,12948,6583,5330,13129,6341
5340,12942,6472,5350,13127,6596
5360,12967,6280,5370,13140,6612
5380,12946,6288,5390,13125,6502
5400,12935,6531,5410,13120,6312
5420,12943,6571,5430,13127,6324
5440,12935,6462,5450,13118,6575
5460,12922,6259,5470,13099,6594
5480,12901,6266,5490,13094,6494
5500,12875,6530,5510,13077,6300
5520,12856,6545,5530,13044,6300
5540,12843,6449,5550,13038,6563
5560,12823,6251,5570,13102,6598
5580,12936,6285,5590,13116,6495
5600,12940,6556,5610,13109,6327
5620,12948,6572,5630,13132,6340
5640,12948,6474,5650,13125,6591
5660,12938,6284,5670,13126,6608
5680,12944,6288,5690,13125,6501
5700,12945,6556,5710,13122,6318
5720,12949,6571,5730,13128,6343
5740,12929,6461,5750,13122,6600
5760,12942,6280,5770,13125,6616
5780,12952,6291,5790,13119,6502
5800,12942,6555,5810,13126,6317
5820,12950,6565,5830,13134,6337
5840,12935,6467,5850,13130,6610
5860,12933,6282,5870,13125,6601
5880,12939,6295,5890,13131,6520
5900,12945,6562,5910,13122,6330
5920,12951,6575,5930,13136,6337
5940,12942,6467,5950,13127,6603
5960,12937,6288,5970,13136,6609
5980,12932,6295,5990,13125,6510
6000,12947,6575,6010,13114,6323
6020,12936,6561,6030,13129,6344
6040,12937,6464,6050,13119,6617
6060,12937,6274,6070,13123,6606
6080,12940,6296,6090,13126,6499
6100,12925,6559,6110,13126,6322
6120,12929,6564,6130,13130,6339
6140,12938,6471,6150,13135,6619
6160,12942,6279,6170,13121,6622
6180,12939,6298,6190,13137,6500
6200,12933,6586,6210,13122,6322
6220,12937,6560,6230,13122,6336
6240,12944,6457,6250,13132,6616
6260,12937,6272,6270,13128,6600
6280,12945,6292,6290,13120,6504
6300,12940,6577,6310,13130,6319
6320,12935,6549,6330,13123,6344
6340,12940,6459,6350,13121,6616
6360,12931,6270,6370,13120,6597
6380,12934,6296,6390,13142,6502
6400,12937,6579,6410,13124,6314
6420,12940,6560,6430,13124,6352
6440,12945,6456,6450,13135,6619
6460,12946,6271,6470,13131,6594
6480,12934,6297,6490,13143,6499
6500,12948,6575,6510,13124,6313
6520,12932,6541,6530,13111,6322
6540,12911,6410,6550,13095,6600
6560,12897,6239,6570,13088,6570
6580,12880,6269,6590,13093,6471
6600,12905,6575,6610,13093,6316
6620,12926,6556,6630,13107,6343
6640,12945,6454,6650,13105,6624
6660,12949,6270,6670,13123,6594
6680,12948,6313,6690,13131,6492
6700,12939,6578,6710,13127,6318
6720,12942,6546,6730,13121,6349
6740,12953,6449,6750,13113,6629
6760,12944,6291,6770,13127,6592
6780,12943,6305,6790,13125,6494
6800,12945,6586,6810,13119,6323
6820,12936,6552,6830,13125,6343
6840,12945,6451,6850,13131,6632
6860,12951,6275,6870,13136,6604
6880,12941,6306,6890,13131,6494
6900,12943,6593,6910,13133,6323
6920,12941,6549,6930,13132,6353
6940,12938,6445,6950,13133,6644
6960,12941,6277,6970,13124,6592
6980,12943,6319,6990,13128,6494
7000,12933,6594,7010,13122,6323
7020,12928,6552,7030,13114,6352
7040,12939,6442,7050,13123,6633
7060,12950,6276,7070,13148,6592
7080,12937,6311,7090,13126,6484
7100,12940,6589,7110,13136,6321
7120,12936,6548,7130,13133,6353
7140,12939,6437,7150,13133,6647
7160,12942,6264,7170,13118,6591
7180,12945,6314,7190,13128,6486
7200,12940,6594,7210,13124,6314
7220,12931,6543,7230,13134,6351
7240,12921,6437,7250,13126,6634
7260,12936,6282,7270,13123,6581
7280,12926,6305,7290,13125,6481
7300,12948,6608,7310,13127,6323
7320,12934,6550,7330,13113,6350
7340,12924,6426,7350,13134,6645
7360,12940,6271,7370,13130,6592
7380,12935,6305,7390,13126,6477
7400,12930,6598,7410,13127,6313
7420,12941,6535,7430,13123,6354
7440,12936,6430,7450,13126,6645
7460,12933,6277,7470,13124,6586
7480,12921,6310,7490,13125,6468
7500,12951,6603,7510,13120,6316
7520,12952,6529,7530,13126,6349
7540,12933,6411,7550,13141,6637
7560,12939,6256,7570,13124,6565
