LED1 Timestamp (ms),LED1_PD1,LED1_PD2,LED2 Timestamp (ms),LED2_PD1,LED2_PD2
353000,37,38,353010,36,34
353020,34,34,353030,38,31
353040,34,35,353050,37,38
353060,40,36,353070,43,36
353080,33,33,353090,39,33
353100,37,35,353110,40,43
353120,39,32,353130,33,38
353140,37,36,353150,38,37
353160,45,33,353170,31,33
353180,31,31,353190,36,27
353200,32,36,353210,39,31
353220,36,29,353230,25,32
353240,35,38,353250,37,44
353260,36,43,353270,40,38
353280,34,28,353290,41,30
353300,37,28,353310,35,31
353320,28,39,353330,27,38
353340,39,39,353350,37,27
353360,26,24,353370,37,26
353380,32,48,353390,40,36
353400,38,35,353410,31,35
353420,37,31,353430,30,30
353440,42,33,353450,37,35
353460,31,35,353470,28,37
353480,32,40,353490,40,41
353500,32,39,353510,37,31
353520,39,39,353530,40,32
353540,36,28,353550,43,29
353560,34,30,353570,34,37
353580,41,34,353590,30,44
353600,42,34,353610,34,42
353620,42,36,353630,37,40
353640,33,32,353650,38,35
353660,40,35,353670,34,30
353680,35,38,353690,37,34
353700,31,30,353710,37,36
353720,36,41,353730,34,37
353740,36,42,353750,33,39
353760,37,34,353770,41,34
353780,35,30,353790,28,39
353800,39,39,353810,39,38
353820,30,39,353830,35,30
353840,33,32,353850,38,37
353860,29,33,353870,33,36
353880,30,28,353890,27,34
353900,31,33,353910,32,34
353920,27,34,353930,35,29
353940,39,35,353950,30,30
353960,38,35,353970,32,37
353980,35,35,353990,31,30
354000,36,31,354010,35,32
354020,41,36,354030,36,33
354040,40,34,354050,26,31
354060,35,32,354070,38,32
354080,33,35,354090,40,35
354100,32,37,354110,34,30
354120,37,43,354130,30,39
354140,31,38,354150,31,37
354160,35,40,354170,38,34
354180,38,35,354190,36,37
354200,37,37,354210,45,39
354220,36,41,354230,35,30
354240,32,23,354250,38,38
354260,34,37,354270,34,38
354280,35,36,354290,38,32
354300,40,39,354310,31,38
354320,37,32,354330,29,34
354340,41,36,354350,35,30
354360,33,40,354370,29,34
354380,38,39,354390,34,33
354400,41,39,354410,27,35
354420,33,32,354430,40,43
354440,29,30,354450,39,34
354460,33,34,354470,35,39
354480,41,41,354490,41,34
354500,42,37,354510,38,34
354520,36,31,354530,36,32
354540,32,26,354550,35,29
354560,27,28,354570,36,40
354580,41,40,354590,30,32
354600,36,33,354610,26,34
354620,37,33,354630,34,31
354640,32,34,354650,30,33
354660,35,39,354670,32,38
354680,41,37,354690,34,31
354700,30,40,354710,40,39
354720,35,38,354730,39,35
354740,35,29,354750,34,43
354760,38,34,354770,39,44
354780,42,37,354790,42,36
354800,34,31,354810,36,34
354820,36,42,354830,34,39
354840,34,43,354850,36,32
354860,34,36,354870,37,37
