LED1 Timestamp (ms),LED1_PD1,LED1_PD2,LED2 Timestamp (ms),LED2_PD1,LED2_PD2
362000,11008,8731,362010,8355,8211
362020,10995,8705,362030,8364,8249
362040,10995,8698,362050,8349,8239
362060,10984,8696,362070,8335,8217
362080,10999,8729,362090,8338,8212
362100,11007,8724,362110,8360,8225
362120,10985,8706,362130,8366,8242
362140,10985,8697,362150,8354,8245
362160,10986,8700,362170,8333,8223
362180,11008,8727,362190,8344,8211
362200,11014,8734,362210,8358,8224
362220,10991,8710,362230,8359,8237
362240,10988,8690,362250,8349,8244
362260,10998,8692,362270,8338,8225
362280,11011,8735,362290,8342,8205
362300,11022,8740,362310,8357,8211
362320,11012,8724,362330,8364,8235
362340,11006,8707,362350,8354,8247
362360,11003,8719,362370,8337,8222
362380,11034,8744,362390,8342,8214
362400,11028,8744,362410,8351,8228
362420,11008,8718,362430,8356,8232
362440,11011,8698,362450,8357,8246
362460,11017,8716,362470,8344,8227
362480,11025,8741,362490,8343,8205
362500,11022,8743,362510,8351,8211
362520,10983,8709,362530,8363,8253
362540,11007,8699,362550,8355,8244
362560,11023,8704,362570,8341,8223
362580,11011,8726,362590,8341,8211
362600,11020,8732,362610,8350,8227
362620,11013,8699,362630,8366,8238
362640,11001,8682,362650,8354,8235
362660,11017,8713,362670,8332,8218
362680,11025,8733,362690,8342,8210
362700,11039,8729,362710,8350,8214
362720,11020,8707,362730,8359,8234
362740,11021,8703,362750,8353,8235
362760,11021,8708,362770,8343,8231
362780,11036,8739,362790,8345,8209
362800,11039,8726,362810,8356,8221
362820,11016,8703,362830,8374,8258
362840,11004,8699,362850,8356,8242
362860,11010,8714,362870,8344,8217
362880,11019,8739,362890,8338,8214
362900,11007,8723,362910,8343,8215
362920,11016,8708,362930,8366,8252
362940,11021,8702,362950,8343,8246
362960,11025,8719,362970,8344,8219
362980,11054,8754,362990,8334,8204
363000,11050,8746,363010,8353,8214
363020,11025,8719,363030,8366,8239
363040,11026,8701,363050,8357,8237
363060,11038,8711,363070,8339,8227
363080,11053,8746,363090,8335,8205
363100,11059,8745,363110,8344,8209
363120,11037,8718,363130,8357,8246
363140,11037,8709,363150,8365,8245
363160,11025,8712,363170,8350,8225
363180,11019,8727,363190,8350,8211
363200,11003,8715,363210,8355,8227
363220,10991,8697,363230,8370,8244
363240,10979,8672,363250,8356,8246
363260,10992,8686,363270,8342,8224
363280,11015,8717,363290,8332,8209
363300,11012,8709,363310,8351,8215
363320,11005,8702,363330,8366,8243
363340,10995,8675,363350,8353,8238
363360,11009,8705,363370,8330,8215
363380,11028,8707,363390,8340,8209
363400,11027,8711,363410,8353,8226
363420,11003,8701,363430,8365,8239
363440,11009,8693,363450,8356,8240
363460,11003,8700,363470,8343,8219
363480,11019,8722,363490,8335,8207
363500,11016,8710,363510,8351,8217
363520,10996,8694,363530,8361,8241
363540,11001,8677,363550,8361,8235
363560,11010,8703,363570,8349,8220
363580,11031,8711,363590,8330,8204
363600,11026,8719,363610,8350,8223
363620,11019,8702,363630,8368,8240
363640,11010,8694,363650,8354,8238
363660,11019,8712,363670,8347,8222
363680,11045,8736,363690,8337,8220
363700,11032,8729,363710,8354,8229
363720,11023,8707,363730,8373,8239
363740,11032,8705,363750,8352,8240
363760,11033,8715,363770,8339,8221
363780,11040,8741,363790,8341,8207
363800,11044,8736,363810,8361,8224
363820,11019,8717,363830,8364,8245
363840,11014,8692,363850,8354,8243
363860,11000,8690,363870,8337,8223
363880,11004,8719,363890,8339,8204
363900,10983,8706,363910,8347,8221
363920,10975,8680,363930,8378,8247
363940,10945,8678,363950,8355,8248
363960,10961,8689,363970,8342,8219
363980,10975,8723,363990,8343,8219
364000,10985,8722,364010,8357,8227
364020,10994,8703,364030,8361,8237
364040,11011,8684,364050,8351,8240
364060,11016,8692,364070,8335,8228
364080,11011,8726,364090,8343,8212
364100,11018,8713,364110,8356,8223
364120,11011,8695,364130,8373,8246
364140,10994,8687,364150,8350,8241
364160,10979,8692,364170,8348,8223
364180,11027,8731,364190,8331,8207
364200,11011,8713,364210,8354,8226
364220,10987,8695,364230,8362,8246
364240,10987,8690,364250,8347,8242
364260,10999,8697,364270,8331,8218
364280,11019,8727,364290,8335,8218
364300,11025,8715,364310,8353,8223
364320,11008,8701,364330,8362,8249
364340,11009,8701,364350,8363,8236
364360,11034,8720,364370,8348,8217
364380,11043,8731,364390,8339,8209
364400,11030,8736,364410,8356,8229
364420,11029,8705,364430,8361,8239
364440,11010,8690,364450,8356,8233
364460,11036,8714,364470,8342,8216
364480,11047,8739,364490,8343,8212
364500,11039,8733,364510,8355,8235
364520,11019,8708,364530,8366,8244
364540,11020,8703,364550,8350,8244
364560,11027,8728,364570,8330,8222
364580,11051,8747,364590,8337,8218
364600,11042,8731,364610,8362,8225
364620,11008,8697,364630,8371,8250
364640,10997,8680,364650,8344,8245
364660,10992,8689,364670,8346,8212
364680,11005,8715,364690,8338,8215
364700,10993,8710,364710,8355,8229
364720,10978,8670,364730,8368,8239
364740,10980,8680,364750,8358,8243
364760,10953,8690,364770,8339,8222
364780,11013,8724,364790,8355,8212
364800,11014,8708,364810,8357,8242
364820,11009,8700,364830,8367,8251
364840,10994,8687,364850,8351,8238
364860,11015,8712,364870,8339,8212
364880,11020,8725,364890,8345,8213
364900,11020,8724,364910,8351,8226
364920,10999,8690,364930,8366,8249
364940,10994,8683,364950,8345,8239
364960,10996,8705,364970,8329,8211
364980,11019,8724,364990,8334,8217
365000,11019,8708,365010,8355,8229
365020,10986,8688,365030,8378,8249
