LED1 Timestamp (ms),LED1_PD1,LED1_PD2,LED2 Timestamp (ms),LED2_PD1,LED2_PD2
38500,1767,-41,38510,1468,-35
38520,1822,-32,38530,1420,-31
38540,1755,-31,38550,1402,-27
38560,1815,-32,38570,1454,-18
38580,1805,-21,38590,1383,-11
38600,1790,-20,38610,1454,-23
38620,1868,-31,38630,1444,-25
38640,1762,-30,38650,1411,-39
38660,1849,-28,38670,1462,-26
38680,1808,-34,38690,1386,-28
38700,1779,-32,38710,1454,-25
38720,1832,-29,38730,1442,-31
38740,1773,-33,38750,1433,-36
38760,1849,-30,38770,1454,-32
38780,1803,-26,38790,1370,-35
38800,1762,-34,38810,1483,-36
38820,1848,-35,38830,1429,-26
38840,1764,-35,38850,1390,-26
38860,1818,-28,38870,1460,-35
38880,1803,-28,38890,1394,-35
38900,1793,-18,38910,1479,-30
38920,1816,-35,38930,1407,-33
38940,1760,-38,38950,1405,-30
38960,1847,-32,38970,1480,-27
38980,1847,-31,38990,1389,-24
39000,1797,-36,39010,1456,-33
39020,1839,-30,39030,1427,-32
39040,1753,-33,39050,1441,-30
39060,1856,-27,39070,1467,-33
39080,1829,-31,39090,1372,-21
39100,1793,-25,39110,1495,-39
39120,1836,-28,39130,1431,-24
39140,1771,-28,39150,1417,-34
39160,1863,-18,39170,1475,-27
39180,1796,-26,39190,1383,-35
39200,1800,-28,39210,1506,-30
39220,1837,-33,39230,1441,-31
39240,1751,-23,39250,1436,-35
39260,1864,-26,39270,1473,-33
39280,1811,-30,39290,1367,-23
39300,1801,-35,39310,1474,-25
39320,1848,-33,39330,1420,-24
39340,1773,-30,39350,1417,-29
39360,1881,-35,39370,1450,-30
39380,1792,-25,39390,1387,-31
39400,1836,-23,39410,1483,-21
39420,1846,-30,39430,1429,-16
39440,1757,-33,39450,1422,-31
39460,1855,-27,39470,1464,-28
39480,1810,-24,39490,1389,-29
39500,1804,-34,39510,1468,-30
39520,1834,-25,39530,1427,-26
39540,1744,-36,39550,1439,-28
39560,1871,-29,39570,1456,-26
