LED1 Timestamp (ms),LED1_PD1,LED1_PD2,LED2 Timestamp (ms),LED2_PD1,LED2_PD2
65000,12886,6474,65010,13043,6391
65020,12887,6418,65030,13039,6552
65040,12889,6328,65050,13053,6516
65060,12899,6361,65070,13051,6449
65080,12883,6509,65090,13047,6359
65100,12902,6476,65110,13028,6390
65120,12884,6406,65130,13046,6552
65140,12892,6327,65150,13045,6515
65160,12884,6350,65170,13058,6451
65180,12892,6518,65190,13064,6363
65200,12882,6486,65210,13048,6390
65220,12896,6401,65230,13048,6550
65240,12887,6323,65250,13057,6513
65260,12891,6355,65270,13048,6437
65280,12890,6511,65290,13041,6361
65300,12896,6475,65310,13040,6387
65320,12889,6395,65330,13041,6547
65340,12886,6317,65350,13045,6510
65360,12887,6357,65370,13040,6431
65380,12886,6514,65390,13045,6360
65400,12884,6478,65410,13045,6392
65420,12879,6393,65430,13048,6558
65440,12890,6329,65450,13055,6512
65460,12882,6366,65470,13044,6441
65480,12897,6524,65490,13050,6370
65500,12889,6475,65510,13046,6401
65520,12883,6391,65530,13056,6558
65540,12888,6329,65550,13028,6510
65560,12886,6365,65570,13055,6429
65580,12885,6517,65590,13029,6357
65600,12898,6479,65610,13058,6408
65620,12892,6388,65630,13050,6552
65640,12888,6328,65650,13132,6533
65660,12946,6385,65670,13128,6460
65680,12961,6553,65690,13127,6400
65700,12960,6504,65710,13108,6433
65720,12957,6413,65730,13121,6589
65740,12946,6352,65750,13112,6528
65760,12946,6388,65770,13118,6448
65780,12952,6537,65790,13115,6381
65800,12951,6489,65810,13112,6427
65820,12932,6394,65830,13096,6571
65840,12926,6339,65850,13097,6528
65860,12915,6401,65870,13094,6442
65880,12915,6549,65890,13083,6390
65900,12908,6505,65910,13085,6434
65920,12933,6397,65930,13112,6586
65940,12953,6352,65950,13094,6527
65960,12944,6396,65970,13104,6442
65980,12944,6540,65990,13100,6384
66000,12961,6503,66010,13105,6437
66020,12959,6407,66030,13090,6584
66040,12969,6358,66050,13064,6521
66060,12970,6417,66070,13100,6444
66080,12951,6547,66090,13115,6384
66100,12956,6489,66110,13110,6438
66120,12951,6404,66130,13123,6585
66140,12950,6354,66150,13116,6536
66160,12950,6407,66170,13112,6432
66180,12946,6542,66190,13103,6384
66200,12945,6497,66210,13122,6452
66220,12957,6400,66230,13108,6587
66240,12951,6351,66250,13118,6537
66260,12942,6411,66270,13121,6447
66280,12951,6544,66290,13113,6394
66300,12949,6488,66310,13111,6434
66320,12952,6400,66330,13109,6576
66340,12950,6354,66350,13101,6533
66360,12949,6401,66370,13110,6430
66380,12950,6553,66390,13120,6390
66400,12947,6495,66410,13109,6445
66420,12951,6396,66430,13113,6598
66440,12956,6356,66450,13113,6529
66460,12938,6409,66470,13116,6424
66480,12943,6554,66490,13118,6394
66500,12957,6501,66510,13113,6458
66520,12954,6395,66530,13110,6584
66540,12957,6351,66550,13117,6530
66560,12947,6414,66570,13113,6438
66580,12952,6561,66590,13109,6389
66600,12948,6486,66610,13047,6440
66620,12946,6383,66630,13110,6585
66640,12952,6357,66650,13113,6526
66660,12943,6419,66670,13107,6419
66680,12952,6554,66690,13116,6401
66700,12965,6497,66710,13121,6460
66720,12959,6392,66730,13121,6575
66740,12946,6353,66750,13110,6527
66760,12947,6432,66770,13120,6420
66780,12950,6553,66790,13123,6391
66800,12939,6488,66810,13105,6457
66820,12949,6379,66830,13119,6588
66840,12934,6340,66850,13123,6520
66860,12948,6417,66870,13113,6414
66880,12962,6542,66890,13116,6371
66900,12927,6474,66910,13068,6455
66920,12913,6354,66930,13078,6580
66940,12906,6353,66950,13084,6519
66960,12910,6430,66970,13068,6407
66980,12912,6551,66990,13072,6388
67000,12936,6493,67010,13092,6466
67020,12961,6380,67030,13102,6594
67040,12960,6350,67050,13105,6529
67060,12954,6439,67070,13101,6406
67080,12961,6558,67090,13105,6398
67100,12954,6502,67110,13106,6469
67120,12953,6380,67130,13111,6594
67140,12953,6357,67150,13111,6532
67160,12953,6433,67170,13105,6414
67180,12946,6553,67190,13108,6388
67200,12956,6493,67210,13014,6447
67220,12961,6376,67230,13106,6578
67240,12950,6358,67250,13114,6519
67260,12962,6441,67270,13103,6413
67280,12956,6556,67290,13119,6394
67300,12945,6499,67310,13121,6478
67320,12950,6378,67330,13119,6593
67340,12953,6363,67350,13114,6527
67360,12960,6446,67370,13125,6416
67380,12959,6555,67390,13125,6392
67400,12957,6487,67410,13120,6487
67420,12955,6377,67430,13112,6590
67440,12960,6348,67450,13124,6524
67460,12953,6441,67470,13111,6406
67480,12954,6554,67490,13114,6393
67500,12960,6487,67510,13016,6458
67520,12952,6365,67530,13105,6587
67540,12954,6349,67550,13119,6518
67560,12955,6449,67570,13121,6407
67580,12946,6550,67590,13113,6387
67600,12951,6481,67610,13121,6491
67620,12948,6371,67630,13105,6581
67640,12944,6349,67650,13123,6517
67660,12954,6445,67670,13122,6416
67680,12956,6554,67690,13130,6396
67700,12955,6484,67710,13121,6485
67720,12944,6368,67730,13122,6588
67740,12954,6361,67750,13124,6519
67760,12955,6465,67770,13128,6398
67780,12945,6541,67790,13118,6395
67800,12954,6486,67810,13112,6489
67820,12932,6366,67830,13108,6581
67840,12942,6366,67850,13120,6515
67860,12949,6453,67870,13114,6397
67880,12955,6545,67890,13117,6391
67900,12946,6471,67910,13110,6494
67920,12958,6369,67930,13109,6569
67940,12950,6356,67950,13112,6511
67960,12939,6447,67970,13100,6386
67980,12918,6532,67990,13090,6379
68000,12915,6469,68010,13091,6495
68020,12929,6366,68030,13098,6586
