LED1 Timestamp (ms),LED1_PD1,LED1_PD2,LED2 Timestamp (ms),LED2_PD1,LED2_PD2
270500,28,39,270510,29,31
270520,40,40,270530,39,29
270540,40,42,270550,30,38
270560,32,37,270570,35,34
270580,33,37,270590,36,36
270600,37,30,270610,40,37
270620,32,34,270630,50,37
270640,40,32,270650,39,33
270660,32,28,270670,36,36
270680,29,34,270690,37,28
270700,44,41,270710,46,35
270720,33,42,270730,41,40
270740,34,38,270750,40,37
270760,31,34,270770,37,38
270780,41,51,270790,38,36
270800,38,40,270810,41,36
270820,43,41,270830,33,37
270840,26,36,270850,27,43
270860,34,39,270870,39,40
270880,30,34,270890,36,37
270900,35,42,270910,36,45
270920,31,38,270930,36,32
270940,41,40,270950,39,36
270960,42,38,270970,40,46
270980,39,40,270990,40,40
271000,42,35,271010,39,38
271020,35,33,271030,43,39
271040,39,45,271050,37,30
271060,33,41,271070,39,37
271080,36,28,271090,37,37
271100,31,40,271110,32,37
271120,42,38,271130,37,39
271140,39,36,271150,38,39
271160,39,42,271170,34,39
271180,40,41,271190,41,26
271200,33,33,271210,34,32
271220,38,42,271230,40,32
271240,39,30,271250,37,34
271260,32,32,271270,31,36
271280,34,37,271290,32,37
271300,32,34,271310,38,38
271320,36,30,271330,32,41
271340,34,30,271350,34,33
271360,35,39,271370,30,33
271380,39,37,271390,47,44
271400,45,35,271410,31,35
271420,35,40,271430,39,28
271440,37,40,271450,40,43
271460,35,40,271470,43,38
271480,47,41,271490,35,34
271500,44,37,271510,31,40
271520,40,32,271530,40,32
271540,40,41,271550,30,43
271560,39,33,271570,37,41
271580,40,37,271590,38,34
271600,33,37,271610,40,36
271620,36,45,271630,41,37
271640,40,33,271650,39,42
271660,36,39,271670,31,44
271680,41,31,271690,38,43
271700,34,37,271710,34,42
271720,30,33,271730,41,40
271740,39,33,271750,44,44
271760,40,40,271770,29,44
271780,39,42,271790,36,38
271800,34,39,271810,36,36
271820,38,45,271830,36,40
271840,33,41,271850,41,34
271860,36,38,271870,39,35
271880,35,35,271890,36,39
271900,38,42,271910,30,39
271920,43,43,271930,43,43
271940,35,46,271950,42,36
271960,43,45,271970,34,37
271980,39,36,271990,38,38
272000,32,43,272010,36,35
272020,38,43,272030,39,40
272040,32,35,272050,45,32
272060,50,43,272070,32,33
272080,36,33,272090,38,36
272100,36,44,272110,39,33
272120,39,41,272130,41,39
272140,41,30,272150,48,48
272160,33,37,272170,40,35
272180,39,34,272190,39,38
272200,32,39,272210,42,30
272220,31,40,272230,36,35
272240,45,45,272250,42,41
272260,39,36,272270,34,34
272280,46,43,272290,35,36
