LED1 Timestamp (ms),LED1_PD1,LED1_PD2,LED2 Timestamp (ms),LED2_PD1,LED2_PD2
41000,12885,6486,41010,13056,6419
41020,12879,6330,41030,13049,6637
41040,12869,6247,41050,13051,6526
41060,12873,6377,41070,13058,6357
41080,12865,6587,41090,13042,6296
41100,12879,6496,41110,13052,6423
41120,12875,6326,41130,13056,6631
41140,12868,6260,41150,13049,6527
41160,12878,6385,41170,13051,6360
41180,12868,6591,41190,13060,6301
41200,12884,6486,41210,13059,6440
41220,12882,6331,41230,13063,6626
41240,12874,6258,41250,13059,6525
41260,12882,6384,41270,13053,6354
41280,12881,6594,41290,13066,6292
41300,12881,6480,41310,13067,6440
41320,12872,6308,41330,13057,6638
41340,12869,6253,41350,13050,6524
41360,12878,6384,41370,13044,6340
41380,12874,6585,41390,13059,6294
41400,12891,6479,41410,13055,6443
41420,12867,6300,41430,13036,6618
41440,12873,6241,41450,13068,6520
41460,12874,6408,41470,13056,6333
41480,12871,6593,41490,13050,6292
41500,12864,6483,41510,13055,6447
41520,12875,6287,41530,13046,6626
41540,12875,6248,41550,13055,6516
41560,12885,6416,41570,13037,6316
41580,12865,6595,41590,13059,6295
41600,12879,6478,41610,13049,6456
41620,12873,6283,41630,13135,6653
41640,12941,6273,41650,13137,6548
41660,12935,6447,41670,13137,6353
41680,12937,6611,41690,13128,6328
41700,12936,6503,41710,13122,6500
41720,12939,6300,41730,13117,6647
41740,12938,6281,41750,13124,6540
41760,12935,6449,41770,13119,6345
41780,12954,6603,41790,13123,6303
41800,12932,6490,41810,13108,6488
41820,12931,6281,41830,13120,6647
41840,12924,6260,41850,13114,6526
41860,12909,6440,41870,13110,6335
41880,12887,6591,41890,13085,6307
41900,12885,6483,41910,13076,6494
41920,12892,6298,41930,13061,6653
41940,12896,6277,41950,13075,6536
41960,12918,6455,41970,13092,6334
41980,12842,6610,41990,13042,6300
42000,12901,6493,42010,13072,6501
42020,12878,6301,42030,13072,6636
42040,12939,6272,42050,13116,6535
42060,12941,6476,42070,13112,6339
42080,12937,6599,42090,13120,6305
42100,12938,6490,42110,13120,6524
42120,12943,6291,42130,13109,6642
42140,12941,6272,42150,13115,6540
42160,12942,6475,42170,13120,6341
42180,12941,6597,42190,13110,6313
42200,12942,6503,42210,13120,6521
42220,12942,6300,42230,13126,6648
42240,12939,6281,42250,13122,6535
42260,12930,6485,42270,13129,6341
