LED1 Timestamp (ms),LED1_PD1,LED1_PD2,LED2 Timestamp (ms),LED2_PD1,LED2_PD2
9500,13120,8113,9510,12948,8267
9520,13121,8201,9530,12931,8202
9540,13109,8228,9550,12934,8100
9560,13106,8261,9570,12937,8207
9580,13105,8203,9590,12934,8218
9600,13091,8112,9610,12928,8259
9620,13106,8199,9630,12930,8196
9640,13096,8232,9650,12937,8122
9660,13112,8255,9670,12934,8211
9680,13108,8201,9690,12937,8232
9700,13114,8114,9710,12939,8253
9720,13113,8202,9730,12922,8186
9740,13108,8227,9750,12933,8102
9760,13100,8278,9770,12940,8201
9780,13111,8192,9790,12940,8225
9800,13119,8115,9810,12955,8259
9820,13101,8201,9830,12934,8205
9840,13107,8224,9850,12947,8121
9860,13105,8250,9870,12948,8212
9880,13109,8194,9890,12931,8227
9900,13104,8138,9910,12946,8233
9920,13119,8199,9930,12932,8192
9940,13111,8241,9950,12936,8129
9960,13117,8232,9970,12936,8215
9980,13107,8199,9990,12940,8235
10000,13117,8108,10010,12931,8227
10020,13095,8206,10030,12915,8191
10040,13083,8225,10050,12901,8099
10060,13078,8191,10070,12892,8198
10080,13057,8185,10090,12902,8227
10100,13068,8131,10110,12905,8190
10120,13087,8214,10130,12938,8204
10140,13086,8225,10150,12931,8123
10160,13107,8227,10170,12929,8222
10180,13024,8193,10190,12909,8227
10200,13059,8125,10210,12901,8199
10220,13068,8214,10230,12940,8189
10240,13092,8231,10250,12936,8129
10260,13112,8200,10270,12936,8216
10280,13100,8188,10290,12928,8229
10300,13104,8120,10310,12943,8193
10320,13117,8226,10330,12942,8201
10340,13112,8226,10350,12942,8155
10360,13111,8206,10370,12942,8213
10380,13108,8194,10390,12946,8237
10400,13109,8148,10410,12929,8190
10420,13115,8238,10430,12942,8190
10440,13091,8227,10450,12915,8115
10460,13097,8203,10470,12906,8219
10480,13109,8188,10490,12931,8237
10500,13111,8114,10510,12944,8202
10520,13120,8237,10530,12945,8194
10540,13118,8240,10550,12935,8152
10560,13102,8219,10570,12930,8224
10580,13108,8183,10590,12940,8216
10600,13090,8139,10610,12920,8203
10620,13109,8221,10630,12929,8187
10640,13116,8240,10650,12942,8136
10660,13104,8204,10670,12939,8213
10680,13106,8193,10690,12931,8236
10700,13104,8147,10710,12927,8189
10720,13102,8224,10730,12940,8190
10740,13104,8243,10750,12941,8118
10760,13111,8191,10770,12916,8232
10780,13107,8200,10790,12928,8236
10800,13115,8153,10810,12930,8197
10820,13107,8234,10830,12925,8195
10840,13122,8231,10850,12937,8143
10860,13104,8216,10870,12936,8211
10880,13114,8187,10890,12929,8242
10900,13104,8161,10910,12935,8213
10920,13104,8236,10930,12920,8186
10940,13099,8232,10950,12939,8128
10960,13108,8205,10970,12944,8227
10980,13108,8189,10990,12933,8239
11000,13095,8139,11010,12927,8189
11020,13107,8230,11030,12935,8189
11040,13107,8251,11050,12940,8154
11060,13105,8214,11070,12933,8231
11080,13095,8185,11090,12923,8232
11100,13078,8148,11110,12900,8203
11120,13061,8227,11130,12879,8196
11140,13084,8239,11150,12903,8161
11160,13068,8192,11170,12894,8229
11180,13076,8197,11190,12924,8237
11200,13099,8149,11210,12945,8198
11220,13096,8227,11230,12933,8186
11240,13098,8246,11250,12941,8139
11260,13103,8200,11270,12939,8240
11280,13114,8194,11290,12933,8237
11300,13094,8165,11310,12938,8200
11320,13099,8230,11330,12933,8164
11340,13111,8231,11350,12937,8164
11360,13096,8195,11370,12925,8220
11380,13107,8195,11390,12927,8235
11400,13101,8196,11410,12934,8191
11420,13101,8234,11430,12935,8185
11440,13108,8255,11450,12930,8171
11460,13102,8196,11470,12928,8232
11480,13113,8184,11490,12934,8295
11500,13109,8174,11510,12924,8199
11520,13115,8238,11530,12946,8185
11540,13092,8289,11550,12920,8177
11560,13102,8220,11570,12936,8237
11580,13101,8182,11590,12940,8294
11600,13094,8179,11610,12930,8194
11620,13101,8241,11630,12938,8195
11640,13111,8297,11650,12924,8206
11660,13096,8198,11670,12930,8234
11680,13094,8174,11690,12931,8286
11700,13107,8185,11710,12929,8192
11720,13101,8242,11730,12937,8148
11740,13107,8280,11750,12936,8201
11760,13100,8214,11770,12935,8237
11780,13101,8131,11790,12934,8273
11800,13110,8181,11810,12928,8197
11820,13109,8239,11830,12939,8106
11840,13096,8265,11850,12935,8177
11860,13103,8194,11870,12933,8238
11880,13106,8117,11890,12936,8281
11900,13106,8210,11910,12937,8209
11920,13108,8237,11930,12942,8111
11940,13110,8286,11950,12936,8229
11960,13105,8190,11970,12941,8230
11980,13112,8097,11990,12936,8248
12000,13112,8184,12010,12934,8211
12020,13107,8228,12030,12945,8128
12040,13110,8256,12050,12948,8204
12060,13108,8194,12070,12945,8230
12080,13110,8122,12090,12936,8273
12100,13114,8203,12110,12940,8202
12120,13113,8243,12130,12940,8076
12140,13105,13046,12150,12928,12890
12160,13088,13050,12170,12917,12896
12180,13079,13056,12190,12897,12926
12200,13061,13084,12210,12880,12937
12220,13057,13080,12230,12886,12961
12240,13045,13091,12250,12898,12950
12260,13065,13093,12270,12870,12888
12280,13026,13062,12290,12842,12941
12300,13026,13052,12310,12883,12948
12320,13042,13069,12330,12886,12956
12340,13106,13110,12350,12946,12937
12360,13096,13090,12370,12943,12938
12380,13102,13091,12390,12934,12935
12400,13106,13095,12410,12937,12927
12420,13102,13095,12430,12927,12933
12440,13100,13099,12450,12934,12941
12460,13112,13108,12470,12944,12943
12480,13098,13108,12490,12937,12937
12500,13104,13094,12510,12938,12927
12520,13103,13093,12530,12944,12942
12540,13108,13105,12550,12940,12933
12560,13102,13088,12570,12785,12788
12580,13093,13084,12590,12929,12935
12600,13092,13086,12610,12933,12931
12620,13096,13096,12630,12939,12934
12640,13101,13105,12650,12944,12943
12660,13099,13098,12670,12917,12935
12680,13112,13103,12690,12930,12923
12700,13105,13107,12710,12936,12924
12720,13099,13091,12730,12936,12929
12740,13090,13083,12750,12934,12928
12760,13098,13101,12770,12937,12930
12780,13109,13095,12790,12923,12924
12800,13098,13093,12810,12938,12920
12820,13102,13103,12830,12930,12936
12840,13118,13099,12850,12940,12941
12860,13110,13109,12870,12951,12942
12880,13100,13097,12890,12932,12929
12900,13108,13105,12910,12942,12938
12920,13111,13099,12930,12946,12938
12940,13116,13097,12950,12942,12934
12960,13113,13100,12970,12931,12926
12980,13099,13104,12990,12934,12934
13000,13098,13105,13010,12947,12938
13020,13105,13095,13030,12946,12938
13040,13111,13100,13050,12934,12931
13060,13103,13090,13070,12936,12934
13080,13099,13090,13090,12939,12933
13100,13106,13106,13110,12927,12935
13120,13115,13108,13130,12915,12924
13140,13096,13081,13150,12924,12906
13160,13098,13077,13170,12800,12760
13180,13097,13061,13190,12918,12858
13200,13100,13039,13210,12929,12852
13220,13102,13022,13230,12911,12850
13240,13078,13073,13250,12903,12923
13260,13090,13095,13270,12912,12940
13280,13080,13085,13290,12898,12930
13300,13085,13089,13310,12904,12942
13320,13061,13100,13330,12925,12944
13340,13092,13096,13350,12926,12932
13360,13102,13097,13370,12941,12937
13380,13102,13097,13390,12930,12935
13400,13108,13095,13410,12937,12938
13420,13098,13098,13430,12941,12939
13440,13098,13099,13450,12932,12927
13460,13091,13090,13470,12939,12928
13480,13100,13096,13490,12945,12935
13500,13114,13097,13510,12928,12928
13520,13104,13102,13530,12944,12936
13540,13096,13088,13550,12938,12930
13560,13097,13103,13570,12924,12927
13580,13112,13111,13590,12930,12937
13600,13107,13114,13610,12949,12945
13620,13112,13113,13630,12936,12937
13640,13118,13092,13650,12939,12938
