LED1 Timestamp (ms),LED1_PD1,LED1_PD2,LED2 Timestamp (ms),LED2_PD1,LED2_PD2
25500,8919,4673,25510,8927,4739
25520,8951,4677,25530,8955,4770
25540,8966,4692,25550,8962,4777
25560,8967,4685,25570,8984,4748
25580,9005,4670,25590,9011,4740
25600,8996,4677,25610,8975,4732
25620,8994,4693,25630,9004,4739
25640,9001,4707,25650,8980,4743
25660,8976,4666,25670,8990,4736
25680,8990,4675,25690,8966,4729
25700,8953,4679,25710,8946,4726
25720,8941,4686,25730,8954,4730
25740,8933,4701,25750,8937,4738
25760,8931,4685,25770,8914,4730
25780,8907,4685,25790,8901,4734
25800,8894,4705,25810,8891,4732
25820,8879,4657,25830,8882,4723
25840,8875,4665,25850,8849,4739
25860,8857,4703,25870,8840,4723
25880,8843,4724,25890,8834,4739
25900,8829,4674,25910,8829,4739
25920,8845,4664,25930,8836,4740
25940,8825,4684,25950,8816,4742
25960,8815,4703,25970,8818,4762
25980,8811,4663,25990,8796,4726
26000,8808,4721,26010,8811,4742
26020,8811,4692,26030,8820,4720
26040,8798,4709,26050,8801,4779
26060,8787,4738,26070,8776,4768
26080,8757,4707,26090,8733,4797
26100,8729,4703,26110,8711,4761
26120,8712,4709,26130,8708,4773
26140,8700,4720,26150,8668,4769
26160,8699,4708,26170,8671,4778
26180,8662,4723,26190,8642,4748
26200,8643,4726,26210,8635,4769
26220,8641,4702,26230,8615,4771
26240,8634,4752,26250,8602,4812
26260,8618,4719,26270,8602,4772
26280,8598,4712,26290,8584,4768
26300,8600,4704,26310,8605,4787
26320,8611,4696,26330,8602,4767
26340,8614,4702,26350,8580,4785
26360,8601,4687,26370,8579,4764
26380,8598,4698,26390,8573,4761
26400,8600,4699,26410,8567,4770
26420,8569,4760,26430,8554,4779
26440,8576,4704,26450,8535,4790
26460,8577,4715,26470,8541,4770
26480,8547,4732,26490,8522,4758
26500,8534,4697,26510,8497,4782
26520,8536,4695,26530,8518,4785
26540,8537,4679,26550,8499,4755
26560,8526,4722,26570,8494,4798
26580,8500,4712,26590,8476,4757
26600,8502,4714,26610,8472,4778
26620,8486,4677,26630,8461,4775
26640,8494,4694,26650,8448,4785
26660,8478,4727,26670,8433,4755
26680,8437,4719,26690,8444,4822
26700,8472,4722,26710,8453,4776
26720,8508,4706,26730,8570,4770
26740,8715,4700,26750,8816,4769
26760,8900,4695,26770,8952,4797
26780,8961,4692,26790,9114,4774
26800,9214,4700,26810,9366,4792
26820,9404,4716,26830,9439,4754
26840,9405,4691,26850,9441,4793
26860,9454,4683,26870,9517,4749
26880,9494,4672,26890,9489,4772
26900,9469,4679,26910,9520,4771
26920,9524,4723,26930,9528,4764
26940,9473,4706,26950,9507,4752
26960,9503,4714,26970,9540,4752
26980,9505,4671,26990,9499,4698
27000,9461,4698,27010,9530,4815
27020,9528,4709,27030,9517,4781
27040,9485,4664,27050,9520,4780
27060,9509,4721,27070,9536,4754
27080,9460,4689,27090,9452,4752
27100,9398,4683,27110,9440,4708
27120,9416,4681,27130,9425,4750
27140,9369,4672,27150,9393,4750
27160,9398,4708,27170,9447,4725
27180,9386,4608,27190,9403,4765
27200,9373,4632,27210,9438,4767
27220,9395,4670,27230,9339,4793
27240,9232,4733,27250,9210,4761
27260,9214,4694,27270,9239,4717
27280,9168,4690,27290,9176,4755
27300,9149,4692,27310,9207,4745
27320,9169,4710,27330,9179,4762
27340,9121,4698,27350,9123,4766
27360,9120,4706,27370,9118,4746
27380,9085,4687,27390,9071,4760
27400,9049,4714,27410,9084,4784
27420,9097,4699,27430,9109,4744
27440,9128,4683,27450,9191,4760
27460,9269,4693,27470,9341,4742
27480,9310,4671,27490,9307,4727
27500,9296,4635,27510,9331,4733
27520,9331,4667,27530,9305,4678
27540,9275,4635,27550,9287,4718
27560,9296,4670,27570,9316,4737
27580,9286,4682,27590,9275,4728
27600,9269,4683,27610,9293,4695
27620,9298,4666,27630,9242,4711
27640,9219,4644,27650,9139,4710
27660,9144,4661,27670,9090,4700
27680,9091,4659,27690,9041,4726
27700,9052,4709,27710,9037,4721
27720,9045,4669,27730,8987,4727
27740,9008,4651,27750,8967,4757
27760,9020,4700,27770,8968,4695
27780,8978,4617,27790,8907,4694
27800,8954,4697,27810,8903,4690
27820,8973,4652,27830,8875,4737
27840,8943,4659,27850,8814,4727
27860,8937,4645,27870,8807,4723
27880,8936,4642,27890,8807,4743
27900,8923,4676,27910,8800,4756
27920,8910,4690,27930,8757,4701
27940,8871,4699,27950,8735,4758
27960,8905,4707,27970,8757,4782
27980,8927,4690,27990,8751,4779
28000,8916,4663,2801
