LED1 Timestamp (ms),LED1_PD1,LED1_PD2,LED2 Timestamp (ms),LED2_PD1,LED2_PD2
11500,13094,8232,11510,12872,8143
11520,13085,8197,11530,12857,8204
11540,13065,8189,11550,12839,8222
11560,13059,8161,11570,12835,8188
11580,13048,8208,11590,12832,8192
11600,13048,8203,11610,12823,8155
11620,13042,8207,11630,12856,8203
11640,13057,8190,11650,12872,8212
11660,13080,8158,11670,12870,8189
11680,13084,8198,11690,12883,8197
11700,13083,8205,11710,12869,8146
11720,13089,8194,11730,12867,8195
11740,13079,8197,11750,12871,8213
11760,13085,8141,11770,12877,8191
11780,13085,8208,11790,12875,8196
11800,13072,8210,11810,12862,8149
11820,13084,8194,11830,12869,8196
11840,13080,8197,11850,12861,8205
11860,13092,8150,11870,12872,8201
11880,13101,8207,11890,12870,8187
11900,13090,8214,11910,12872,8144
11920,13085,8195,11930,12873,8198
11940,13092,8196,11950,12884,8203
11960,13087,8169,11970,12864,8204
11980,13090,8212,11990,12871,8188
12000,13090,8214,12010,12861,8166
12020,13084,8191,12030,12855,8203
12040,13081,8190,12050,12854,8197
12060,13079,8165,12070,12855,8185
12080,13096,8211,12090,12870,8189
12100,13095,8205,12110,12871,8151
12120,13082,8193,12130,12863,8220
12140,13100,8201,12150,12886,8214
12160,13098,8164,12170,12874,8194
12180,13100,8212,12190,12860,8188
12200,13098,8212,12210,12867,8162
12220,13093,8199,12230,12861,8202
12240,13082,8186,12250,12875,8212
12260,13086,8172,12270,12875,8212
12280,13089,8201,12290,12865,8188
12300,13079,8204,12310,12864,8173
12320,13076,8199,12330,12858,8205
12340,13074,8189,12350,12870,8211
12360,13078,8166,12370,12868,8199
12380,13086,8217,12390,12875,8185
12400,13084,8205,12410,12860,8159
12420,13091,8204,12430,12863,8204
12440,13075,8194,12450,12871,8215
12460,13088,8168,12470,12866,8190
12480,13091,8216,12490,12859,8186
12500,13087,8218,12510,12864,8170
12520,13090,8200,12530,12870,8206
12540,13074,8196,12550,12877,8210
12560,13093,8176,12570,12874,8188
12580,13076,8211,12590,12859,8184
12600,13065,8217,12610,12843,8168
12620,13058,8185,12630,12817,8214
12640,13033,8190,12650,12783,8203
12660,13004,8157,12670,12783,8194
12680,12987,8204,12690,12834,8187
12700,13064,8221,12710,12871,8167
12720,13078,8198,12730,12870,8207
12740,13084,8195,12750,12864,8203
12760,13076,8163,12770,12861,8190
12780,13069,8205,12790,12862,8186
12800,13093,8219,12810,12872,8166
12820,13071,8197,12830,12858,8212
12840,13079,8179,12850,12862,8212
12860,13099,8168,12870,12861,8187
12880,13083,8210,12890,12867,8196
12900,13082,8211,12910,12854,8157
12920,13082,8199,12930,12863,8212
12940,13082,8189,12950,12874,8211
12960,13085,8165,12970,12862,8196
12980,13091,8220,12990,12866,8190
13000,13091,8218,13010,12864,8166
13020,13087,8201,13030,12871,8220
13040,13091,8199,13050,12860,8226
13060,13095,8154,13070,12856,8186
13080,13093,8208,13090,12862,8189
13100,13076,8209,13110,12874,8154
13120,13092,8201,13130,12864,8205
13140,13076,8195,13150,12868,8211
13160,13074,8159,13170,12861,8197
13180,13080,8209,13190,12865,8174
13200,13076,8217,13210,12858,8168
13220,13078,8198,13230,12871,8213
13240,13100,8194,13250,12867,8220
13260,13092,8161,13270,12866,8194
13280,13083,8207,13290,12871,8184
13300,13093,8225,13310,12867,8175
13320,13073,8182,13330,12861,8203
13340,13095,8197,13350,12862,8206
13360,13082,8168,13370,12863,8201
13380,13083,8213,13390,12871,8193
13400,13096,8220,13410,12873,8174
13420,13081,8192,13430,12854,8210
13440,13091,8185,13450,12869,8213
13460,13083,8174,13470,12874,8208
13480,13079,8209,13490,12857,8180
13500,13073,8208,13510,12864,8164
13520,13053,8196,13530,12851,8213
13540,13072,8182,13550,12863,8217
13560,13076,8165,13570,12854,8212
13580,13063,8205,13590,12857,8182
13600,13067,8216,13610,12857,8165
13620,13071,8191,13630,12865,8215
13640,13073,8184,13650,12869,8215
13660,13080,8174,13670,12843,8191
13680,13066,8219,13690,12833,8194
13700,13049,8224,13710,12821,8178
13720,13039,8192,13730,12818,8202
13740,13032,8199,13750,12825,8241
13760,13029,8193,13770,12828,8188
13780,13049,8220,13790,12866,8184
13800,13058,8220,13810,12869,8191
13820,13058,8206,13830,12867,8206
13840,13074,8192,13850,12873,8245
13860,13074,8171,13870,12870,8183
13880,13075,8215,13890,12875,8189
13900,13089,8255,13910,12865,8184
13920,13080,8197,13930,12867,8204
13940,13088,8184,13950,12857,8242
13960,13084,8196,13970,12863,8190
13980,13082,8223,13990,12864,8195
14000,13085,8250,14010,12866,8176
14020,13083,8186,14030,12873,8209
14040,13081,8187,14050,12860,8232
14060,13086,8192,14070,12853,8190
14080,13081,8212,14090,12865,8186
14100,13083,8236,14110,12870,8182
14120,13075,8196,14130,12866,8215
14140,13082,8188,14150,12858,8235
14160,13081,8186,14170,12870,8208
14180,13089,8215,14190,12862,8181
14200,13085,8244,14210,12869,8188
14220,13100,8192,14230,12865,8214
14240,13088,8192,14250,12870,8244
14260,13081,8191,14270,12859,8198
14280,13087,8219,14290,12861,8167
14300,13074,8243,14310,12865,8190
14320,13096,8189,14330,12870,8209
14340,13084,8160,14350,12855,8245
14360,13079,8202,14370,12865,8180
14380,13087,8218,14390,12871,8162
14400,13091,8248,14410,12868,8184
14420,13077,8192,14430,12864,8211
14440,13087,8159,14450,12859,8233
14460,13092,8198,14470,12871,8193
14480,13092,8219,14490,12869,8152
14500,13079,8233,14510,12874,8204
14520,13092,8194,14530,12866,8202
14540,13090,8148,14550,12860,8219
14560,13081,8175,14570,12870,8182
14580,13098,8214,14590,12867,8141
14600,13093,8238,14610,12865,8191
14620,13092,8202,14630,12869,8214
14640,13077,8149,14650,12867,8239
14660,13084,8197,14670,12867,8205
14680,13098,8223,14690,12869,8163
14700,13086,8238,14710,12868,8206
14720,13087,8204,14730,12875,8218
14740,13084,8164,14750,12846,8228
14760,13066,8196,14770,12826,8193
14780,13057,8213,14790,12829,8142
14800,13056,8234,14810,12840,8195
14820,13052,8190,14830,12828,8200
14840,13061,8143,14850,12867,8228
14860,13080,8195,14870,12863,8186
14880,13079,8204,14890,12870,8142
14900,13075,8235,14910,12870,8203
14920,13085,8198,14930,12875,8218
14940,13084,8154,14950,12872,8235
14960,13082,8206,14970,12859,8190
14980,13082,8216,14990,12866,8142
15000,13083,8231,15010,12868,8191
15020,13015,8191,15030,12846,8208
15040,13077,8141,15050,12864,8222
15060,13064,8192,15070,12860,8187
15080,13065,8207,15090,12867,8136
15100,13069,8224,15110,12870,8197
15120,13079,8201,15130,12867,8212
15140,13073,8151,15150,12862,8221
15160,13086,8199,15170,12865,8180
15180,13089,8207,15190,12868,8150
15200,13093,8240,15210,12868,8187
15220,13072,8189,15230,12855,8202
15240,13086,8146,15250,12862,8228
15260,13094,8201,15270,12866,8194
15280,13093,8213,15290,12857,8136
15300,13082,8227,15310,12862,8187
15320,12929,8191,15330,12858,8197
15340,13071,8143,15350,12852,8238
15360,13092,8188,15370,12853,8186
15380,13076,8219,15390,12864,8140
15400,13094,8228,15410,12869,8202
15420,13080,8187,15430,12855,8207
15440,13068,8160,15450,12858,8214
15460,13084,8193,15470,12851,8182
15480,13077,8205,15490,12865,8137
15500,13088,8227,15510,12866,8210
15520,13079,8193,15530,12874,8215
15540,13084,8139,15550,12864,8235
15560,13091,8193,15570,12857,8189
15580,13078,8206,15590,12865,8129
15600,13092,8224,15610,12874,8190
15620,12915,8195,15630,12856,8214
15640,13085,8147,15650,12853,8206
15660,13081,8208,15670,12855,8196
15680,13083,8217,15690,12865,8140
15700,13093,8204,15710,12872,8190
15720,13090,8183,15730,12865,8209
15740,13093,8150,15750,12861,8211
15760,13088,8198,15770,12859,8190
15780,13081,8218,15790,12866,8143
15800,13092,8206,15810,12871,8204
15820,13073,8195,15830,12839,8211
15840,13062,8146,15850,12819,8210
15860,13039,8203,15870,12818,8193
15880,13032,8211,15890,12829,8155
15900,13030,8195,15910,12835,8207
15920,13041,8191,15930,12864,8204
15940,13058,8150,15950,12872,8195
15960,13071,8208,15970,12880,8189
15980,13094,8221,15990,12868,8155
16000,13078,8188,16010,12870,8207
16020,13083,8184,16030,12871,8221
16040,13079,8130,16050,12869,8179
16060,13089,8205,16070,12877,8190
16080,13087,8210,16090,12862,8153
16100,13082,8200,16110,12870,8210
16120,13080,8195,16130,12874,8198
16140,13091,8156,16150,12864,8190
16160,13075,8207,16170,12858,8193
16180,13089,8216,16190,12867,8156
16200,13096,8201,16210,12872,8201
16220,13054,8192,16230,12860,8200
16240,13085,8156,16250,12861,8170
16260,13080,8210,16270,12864,8191
16280,13089,8205,16290,12869,8142
16300,13079,8207,16310,12863,8212
16320,13081,8188,16330,12868,8213
16340,13081,8149,16350,12860,8192
16360,13086,8212,16370,12864,8183
16380,13079,8205,16390,12867,8150
16400,13086,8200,16410,12870,8192
16420,13084,8190,16430,12884,8215
16440,13088,8159,16450,12867,8194
16460,13093,8218,16470,12869,8190
16480,13088,8201,16490,12870,8166
16500,13084,8195,16510,12860,8216
16520,12919,8188,16530,12864,8212
16540,13076,8150,16550,12870,8206
16560,13078,8214,16570,12856,8190
16580,13077,8212,16590,12870,8145
16600,13069,8198,16610,12846,8200
16620,13092,8189,16630,12870,8214
16640,13078,8155,16650,12859,8198
16660,13079,8203,16670,12865,8189
16680,13087,8217,16690,12870,8168
16700,13088,8202,16710,12876,8210
16720,13085,8200,16730,12870,8219
16740,13082,8163,16750,12870,8192
16760,13087,8217,16770,12861,8194
16780,13094,8219,16790,12882,8157
16800,13078,8193,16810,12853,8214
16820,13078,8194,16830,12861,8203
16840,13075,8166,16850,12857,8188
16860,13092,8214,16870,12861,8192
16880,13081,8219,16890,12855,8150
16900,13053,8206,16910,12844,8202
16920,13048,8183,16930,12824,8207
16940,13046,8169,16950,12833,8192
16960,13046,8211,16970,12830,8191
16980,13053,8218,16990,12848,8159
17000,13059,8203,17010,12876,8213
17020,13068,8186,17030,12863,8212
17040,13077,8169,17050,12872,8196
17060,13091,8212,17070,12874,8194
17080,13080,8202,17090,12868,8164
17100,13076,8198,17110,12881,8217
17120,12921,8187,17130,12873,8211
17140,13049,8160,17150,12858,8201
17160,13081,8215,17170,12865,8185
17180,13063,8213,17190,12868,8177
17200,13061,8193,17210,12870,8193
17220,13091,8198,17230,12872,8207
17240,13091,8162,17250,12871,8190
17260,13095,8216,17270,12859,8181
17280,13081,8210,17290,12859,8170
17300,13095,8188,17310,12865,8206
17320,13083,8189,17330,12873,8206
17340,13075,8167,17350,12865,8199
17360,13084,8214,17370,12868,8176
17380,13084,8209,17390,12871,8180
17400,13085,8197,17410,12862,8211
17420,13097,8192,17430,12867,8212
17440,13086,8173,17450,12867,8188
17460,13078,8210,17470,12869,8188
17480,13092,8211,17490,12864,8174
17500,13074,8197,17510,12857,8208
17520,13079,8183,17530,12875,8211
17540,13082,8175,17550,12858,8195
17560,13083,8213,17570,12865,8193
17580,13082,8213,17590,12869,8160
17600,13084,8200,17610,12875,8217
17620,13084,8193,17630,12854,8203
17640,13082,8165,17650,12866,8194
17660,13074,8209,17670,12858,8175
17680,13082,8220,17690,12869,8161
17700,13074,8201,17710,12865,8210
17720,12919,8191,17730,12866,8215
17740,13078,8162,17750,12860,8189
17760,13076,8214,17770,12856,8192
17780,13082,8217,17790,12873,8168
17800,13085,8189,17810,12869,8206
17820,13074,8190,17830,12882,8225
17840,13076,8165,17850,12870,8193
17860,13087,8218,17870,12863,8182
17880,13086,8222,17890,12869,8173
17900,13094,8196,17910,12877,8210
17920,13076,8189,17930,12855,8210
17940,13081,8169,17950,12850,8196
17960,13063,8208,17970,12835,8183
17980,13049,8217,17990,12833,8178
18000,13047,8190,18010,12818,8209
18020,13028,8193,18030,12766,8207
18040,13004,8173,18050,12752,8189
18060,12990,8218,18070,12786,8181
18080,13008,8219,18090,12871,8169
18100,13090,8195,18110,12873,8211
18120,13076,8193,18130,12875,8211
18140,13079,8183,18150,12878,8183
18160,13075,8214,18170,12874,8185
18180,13082,8218,18190,12879,8173
18200,13075,8190,18210,12867,8209
18220,13081,8183,18230,12859,8218
18240,13085,8164,18250,12867,8179
18260,13075,8213,18270,12867,8187
18280,13095,8218,18290,12869,8167
18300,13094,8185,18310,12866,8217
18320,13083,8181,18330,12860,8218
18340,13087,8196,18350,12872,8202
18360,13091,8219,18370,12863,8192
18380,13084,8218,18390,12861,8170
18400,13078,8205,18410,12865,8217
18420,13098,8196,18430,12859,8205
18440,13089,8174,18450,12864,8190
18460,13090,8209,18470,12861,8182
18480,13088,8251,18490,12870,8185
18500,13078,8191,18510,12870,8210
18520,13098,8182,18530,12874,8251
18540,13081,8190,18550,12871,8191
18560,13081,8225,18570,12866,8188
18580,13097,8242,18590,12866,8176
18600,13081,8194,18610,12880,8207
18620,13074,8183,18630,12852,8227
18640,13088,8171,18650,12854,8196
18660,13074,8207,18670,12863,8179
18680,13082,8230,18690,12867,8182
18700,13086,8188,18710,12859,8214
18720,13087,8189,18730,12870,8245
18740,13092,8187,18750,12867,8189
18760,13096,8204,18770,12867,8174
18780,13085,8237,18790,12858,8192
18800,13088,8198,18810,12864,8205
18820,13077,8186,18830,12861,8238
18840,13075,8184,18850,12858,8191
18860,13084,8219,18870,12857,8181
18880,13069,8227,18890,12866,8194
18900,13076,8190,18910,12877,8211
18920,13093,8174,18930,12860,8225
18940,13087,8205,18950,12870,8187
18960,13094,8219,18970,12867,8162
18980,13084,8236,18990,12859,8185
19000,13080,8189,19010,12871,8206
19020,13070,8153,19030,12841,8249
19040,13071,8192,19050,12835,8197
19060,13058,8213,19070,12826,8151
19080,13051,8229,19090,12820,8193
19100,13046,8189,19110,12830,8202
19120,13053,8156,19130,12840,8228
19140,13063,8205,19150,12864,8200
19160,13076,8222,19170,12875,8144
19180,13084,8219,19190,12861,8181
19200,13066,8191,19210,12860,8214
19220,13072,8155,19230,12856,8236
19240,13036,8191,19250,12839,8193
19260,13065,8218,19270,12864,8143
19280,13059,8234,19290,12873,8191
19300,13091,8209,19310,12877,8209
19320,13082,8156,19330,12859,8234
19340,13075,8191,19350,12847,8188
19360,13081,8214,19370,12870,8147
19380,13081,8217,19390,12862,8199
19400,13075,8193,19410,12860,8212
19420,13095,8152,19430,12860,8219
19440,13084,8193,19450,12857,8189
19460,13085,8208,19470,12872,8139
19480,13093,8231,19490,12870,8179
19500,13084,8196,19510,12873,8206
19520,13074,8146,19530,12869,8239
19540,13090,8199,19550,12853,8196
19560,13078,8203,19570,12851,8147
19580,13081,8237,19590,12874,8196
19600,13075,8201,19610,12858,8203
19620,13072,8142,19630,12860,8216
19640,13086,8185,19650,12869,8193
19660,13091,8214,19670,12862,8138
19680,13090,8230,19690,12857,8190
19700,13078,8192,19710,12859,8215
19720,13083,8139,19730,12876,8227
19740,13091,8177,19750,12869,8182
19760,13084,8204,19770,12861,8155
19780,13089,8226,19790,12851,8181
19800,13087,8185,19810,12863,8198
19820,13088,8156,19830,12857,8234
19840,13084,8203,19850,12861,8191
