LED1 Timestamp (ms),LED1_PD1,LED1_PD2,LED2 Timestamp (ms),LED2_PD1,LED2_PD2
191500,8953,4698,191510,8578,4764
191520,8949,4692,191530,8576,4756
191540,8944,4699,191550,8572,4763
191560,8956,4695,191570,8577,4760
191580,8943,4711,191590,8577,4732
191600,8953,4677,191610,8598,4738
191620,8951,4687,191630,8568,4775
191640,8945,4684,191650,8584,4763
191660,8956,4707,191670,8584,4751
191680,8949,4707,191690,8584,4773
191700,8955,4748,191710,8594,4808
191720,8962,4760,191730,8592,4785
191740,8953,4744,191750,8586,4807
191760,8959,4724,191770,8597,4807
191780,8957,4732,191790,8585,4785
191800,8960,4725,191810,8586,4767
191820,8965,4716,191830,8574,4785
191840,8966,4727,191850,8592,4782
191860,8947,4768,191870,8583,4790
191880,8963,4742,191890,8591,4799
191900,8958,4735,191910,8605,4809
191920,8970,4735,191930,8600,4780
191940,8971,4719,191950,8623,4776
191960,8986,4728,191970,8611,4795
191980,8991,4743,191990,8614,4779
192000,8995,4736,192010,8641,4783
192020,9007,4737,192030,8629,4797
192040,9012,4743,192050,8653,4802
192060,9019,4726,192070,8654,4790
192080,9024,4737,192090,8656,4802
192100,9036,4732,192110,8668,4792
192120,9036,4731,192130,8662,4799
192140,9023,4733,192150,8674,4796
192160,9043,4759,192170,8670,4807
192180,9025,4752,192190,8642,4808
192200,9017,4746,192210,8638,4815
192220,8993,4730,192230,8592,4792
192240,8955,4727,192250,8580,4808
192260,8924,4744,192270,8524,4774
192280,8893,4718,192290,8541,4800
192300,8968,4730,192310,8590,4777
192320,8947,4733,192330,8582,4799
192340,8944,4755,192350,8585,4795
192360,8955,4745,192370,8587,4703
192380,8970,4730,192390,8598,4813
192400,8972,4726,192410,8624,4797
192420,9005,4739,192430,8642,4805
192440,9032,4741,192450,8659,4790
192460,9064,4703,192470,8676,4798
192480,9062,4724,192490,8677,4810
192500,9077,4739,192510,8694,4755
192520,9067,4754,192530,8681,4823
192540,9064,4752,192550,8678,4826
192560,9066,4771,192570,8665,4799
192580,9051,4758,192590,8680,4808
192600,9064,4743,192610,8698,4823
192620,9055,4735,192630,8672,4800
192640,9059,4727,192650,8688,4786
192660,9089,4735,192670,8692,4812
192680,9063,4720,192690,8689,4827
192700,9074,4682,192710,8698,4795
192720,9073,4745,192730,8678,4809
192740,9055,4727,192750,8685,4811
192760,9070,4731,192770,8684,4801
192780,9051,4731,192790,8673,4814
192800,9059,4724,192810,8695,4800
192820,9069,4743,192830,8665,4794
192840,9050,4776,192850,8687,4798
192860,9063,4720,192870,8672,4805
192880,9050,4741,192890,8674,4814
192900,9045,4735,192910,8677,4791
192920,9014,4724,192930,8650,4794
192940,8984,4718,192950,8617,4800
192960,8979,4717,192970,8585,4792
192980,8921,4718,192990,8535,4784
193000,8888,4731,193010,8532,4821
193020,8921,4712,193030,8600,4778
193040,9224,4740,193050,9216,4778
193060,9587,4730,193070,9199,4775
193080,9420,4727,193090,8919,4799
193100,8998,4739,193110,8750,4792
193120,9221,4748,193130,8976,4817
193140,9297,4749,193150,8963,4788
193160,9253,4734,193170,8759,4732
193180,9192,4728,193190,8910,4782
193200,9327,4756,193210,8952,4797
193220,9295,4751,193230,8957,4817
193240,9339,4757,193250,9058,4796
193260,9464,4745,193270,9076,4795
193280,9495,4739,193290,9146,4782
193300,9600,4712,193310,9263,4815
193320,9649,4732,193330,9320,4795
193340,9716,4749,193350,9400,4778
193360,9766,4748,193370,9367,4788
193380,9743,4741,193390,9376,4794
193400,9788,4741,193410,9410,4799
193420,9743,4759,193430,9362,4798
193440,9751,4691,193450,9389,4832
193460,9769,4742,193470,9339,4791
193480,9728,4747,193490,9321,4808
193500,9744,4743,193510,9312,4797
193520,9720,4722,193530,9261,4775
193540,9680,4723,193550,9281,4787
193560,9679,4733,193570,9235,4793
193580,9639,4730,193590,9229,4799
193600,9662,4713,193610,9235,4788
193620,9618,4747,193630,9180,4798
193640,9608,4740,193650,9239,4790
193660,9609,4747,193670,9159,4803
193680,9534,4747,193690,9122,4811
193700,9543,4745,193710,9077,4802
193720,9459,4736,193730,9011,4812
193740,9454,4717,193750,9016,4777
193760,9447,4700,193770,8961,4785
193780,9390,4724,193790,8928,4772
193800,9413,4729,193810,8926,4804
193820,9377,4729,193830,8873,4792
193840,9346,4713,193850,8848,4770
193860,9LED1 Timestamp (ms),LED1_PD1,LED1_PD2,LED2 Timestamp (ms),LED2_PD1,LED2_PD2
15000,9737,4948,15010,9383,5015
15020,9754,4975,15030,9418,5032
15040,9768,4946,15050,9390,5029
15060,9735,4957,15070,9400,5022
15080,9777,4962,15090,9409,5033
15100,9742,4962,15110,9387,5016
15120,9740,4975,15130,9425,5019
15140,9773,4971,15150,9386,5054
15160,9729,4972,15170,9384,5017
15180,9768,4964,15190,9423,5025
15200,9750,4955,15210,9373,5037
15220,9742,4965,15230,9418,5025
15240,9758,4971,15250,9390,5024
15260,9720,4954,15270,9406,5036
15280,9772,4958,15290,9429,5010
15300,9722,4976,15310,9372,4877
15320,9754,4951,15330,9406,5004
15340,9777,4946,15350,9386,5005
15360,9728,4937,15370,9406,5006
15380,9764,4963,15390,9414,5023
15400,9743,4957,15410,9375,5029
15420,9746,4957,15430,9416,5016
15440,9754,4938,15450,9389,4999
15460,9714,4933,15470,9403,5003
15480,9775,4952,15490,9407,5045
15500,9745,4945,15510,9379,5000
15520,9752,4966,15530,9415,5034
15540,9770,4973,15550,9402,5067
15560,9735,4968,15570,9412,5042
15580,9777,4977,15590,9401,5059
15600,9747,4969,15610,9390,5043
15620,9751,4971,15630,9427,5056
15640,9759,4948,15650,9387,5044
15660,9742,4938,15670,9409,5033
15680,9776,4961,15690,9418,5025
15700,9749,4983,15710,9388,4872
15720,9768,4539,15730,9412,4512
15740,9760,4271,15750,9392,4337
15760,9743,4203,15770,9408,4216
15780,9768,4121,15790,9414,4172
15800,9745,4124,15810,9375,4517
15820,9739,4250,15830,9425,4320
15840,9753,4264,15850,9409,4607
15860,9731,4553,15870,9391,4601
15880,9764,4557,15890,9404,4606
15900,9750,4557,15910,9379,4631
15920,9765,4533,15930,9418,4592
15940,9768,4501,15950,9393,4445
15960,9727,4383,15970,9396,4462
15980,9768,4372,15990,9412,4435
16000,9731,4371,16010,9391,4403
16020,9771,4353,16030,9409,4406
16040,9777,4368,16050,9382,4407
16060,9732,4461,16070,9425,4553
16080,9765,4486,16090,9407,4538
16100,9743,4420,16110,9407,4533
16120,9766,4426,16130,9430,4548
16140,9769,4430,16150,9388,4536
16160,9731,4582,16170,9418,4693
16180,9778,4586,16190,9406,4694
16200,9741,4628,16210,9384,4744
16220,9786,4677,16230,9409,4747
16240,9751,4704,16250,9386,4685
16260,9744,4605,16270,9410,4631
16280,9781,4635,16290,9411,5119
16300,9752,5081,16310,9376,5130
16320,9763,5048,16330,9431,5129
16340,9772,5036,16350,9378,5132
16360,9746,5037,16370,9398,5104
16380,9767,5058,16390,9407,5081
16400,9754,5025,16410,9381,5108
16420,9759,5058,16430,9405,5165
16440,9756,5020,16450,9384,5104
16460,9732,5034,16470,9418,5132
16480,9761,5053,16490,9400,5139
16500,9730,5043,16510,9381,5146
16520,9777,5050,16530,9407,5111
16540,9763,5053,16550,9387,5131
16560,9736,5077,16570,9398,5140
16580,9777,5063,16590,9386,5118
16600,9733,5040,16610,9360,5112
16620,9751,5042,16630,9411,5136
16640,9730,5060,16650,9367,5134
16660,9717,5067,16670,9384,5104
16680,9743,5075,16690,9361,5159
