LED1 Timestamp (ms),LED1_PD1,LED1_PD2,LED2 Timestamp (ms),LED2_PD1,LED2_PD2
533220,13550,-52533230,13549,-49
533240,13548,-35533250,13539,-45
533260,13542,-41533270,13544,-44
533280,13535,-49533290,13544,-46
533300,13537,-41533310,13545,-50
533320,13542,-46533330,13543,-41
533340,13543,-48533350,13548,-51
533360,13530,-53533370,13538,-48
533380,13547,-54533390,13534,-47
533400,13534,-45533410,13532,-47
533420,13537,-47533430,13534,-48
533440,13545,-53533450,13539,-49
533460,13531,-46533470,13535,-46
533480,13550,-48533490,13543,-47
533500,13543,-43533510,13540,-41
533520,13540,-49533530,13541,-48
533540,13549,-40533550,13532,-47
533560,13539,-49533570,13543,-50
533580,13542,-39533590,13529,-43
533600,13541,-48533610,13539,-47
533620,13545,-36533630,13546,-54
533640,13536,-50533650,13542,-46
533660,13554,-47533670,13530,-55
533680,13534,-46533690,13541,-45
533700,13533,-43533710,13528,-43
533720,13527,-45533730,13526,-49
533740,13534,-44533750,13530,-46
533760,13538,-52533770,13534,-47
533780,13525,-49533790,13531,-45
533800,13538,-51533810,13538,-53
533820,13545,-41533830,13538,-49
533840,13540,-41533850,13527,-46
533860,13540,-47533870,13534,-40
533880,13538,-45533890,13534,-49
533900,13515,-51533910,13543,-46
533920,13529,-42533930,13523,-48
533940,13535,-52533950,13541,-51
533960,13532,-60533970,13544,-48
533980,13534,-51533990,13545,-52
534000,13536,-48534010,13538,-45
534020,13540,-45534030,13536,-33
534040,13538,-44534050,13550,-45
534060,13530,-52534070,13521,-52
534080,13515,-39534090,13501,-48
534100,13502,-47534110,13493,-46
534120,13512,-42534130,13512,-44
534140,13520,-45534150,13520,-40
534160,13515,-48534170,13534,-43
534180,13541,-38534190,13535,-50
534200,13550,-46534210,13541,-43
534220,13542,-49534230,13551,-47
534240,13534,-46534250,13546,-40
534260,13550,-43534270,13552,-41
534280,13542,-48534290,13555,-47
534300,13550,-49534310,13533,-45
534320,13543,-49534330,13528,-43
534340,13550,-55534350,13542,-45
534360,13537,-52534370,13542,-56
534380,13540,-47534390,13539,-44
534400,13527,-44534410,13541,-44
534420,13548,-45534430,13531,-52
534440,13541,-45534450,13531,-57
534460,13537,-47534470,13534,-49
534480,13531,-46534490,13530,-42
534500,13511,-58534510,13531,-48
534520,13535,-51534530,13533,-47
534540,13540,-54534550,13548,-53
534560,13535,-51534570,13545,-52
534580,13537,-49534590,13537,-48
534600,13534,-49534610,13528,-53
534620,13537,-38534630,13530,-52
534640,13542,-52534650,13546,-41
534660,13540,-47534670,13536,-50
534680,13542,-43534690,13541,-43
534700,13540,-48534710,13543,-48
534720,13543,-51534730,13540,-48
534740,13541,-50534750,13533,-51
534760,13540,-53534770,13523,-47
534780,13542,-52534790,13539,-53
534800,13529,-62534810,13520,-56
534820,13532,-54534830,13523,-45
534840,13521,-46534850,13533,-37
534860,13532,-53534870,13540,-59
534880,13539,-34534890,13541,-57
534900,13533,-47534910,13533,-47
534920,13530,-52534930,13528,-47
534940,13546,-39534950,13533,-46
534960,13524,-50534970,13531,-46
534980,13535,-41534990,13526,-44
535000,13539,-54535010,13537,-58
535020,13532,-38535030,13528,-50
535040,13530,-45535050,13541,-51
535060,13529,-54535070,13528,-46
535080,13508,-51535090,13485,-49
535100,13459,-56535110,13472,-53
535120,13488,-43535130,13481,-46
535140,13482,-46535150,13486,-49
535160,13511,-42535170,13508,-39
535180,13523,-56535190,13536,-48
535200,13542,-43535210,13536,-54
535220,13535,-54535230,13548,-56
535240,13539,-62535250,13532,-40
535260,13535,-51535270,13539,-51
535280,13542,-50535290,13559,-48
535300,13546,-40535310,13542,-44
535320,13545,-39535330,13541,-47
535340,13541,-45535350,13537,-45
535360,13539,-44535370,13548,-37
535380,13545,-51535390,13540,-56
535400,13537,-51535410,13536,-48
535420,13542,-47535430,13533,-47
535440,13530,-51535450,13530,-53
535460,13545,-53535470,13528,-49
535480,13535,-42535490,13535,-46
535500,13541,-44535510,13533,-52
535520,13537,-44535530,13538,-50
535540,13540,-43535550,13528,-41
535560,13527,-39535570,13533,-51
535580,13542,-51535590,13541,-41
535600,13544,-51535610,13538,-52
535620,13537,-44535630,13531,-49
535640,13530,-42535650,13532,-42
535660,13541,-45535670,13546,-49
535680,13533,-44535690,13540,-40
535700,13511,-45535710,13537,-51
535720,13535,-47535730,13536,-46
535740,13542,-41535750,13535,-53
535760,13541,-44535770,13546,-43
535780,13543,-40535790,13553,-42
535800,13541,-47535810,13539,-51
535820,13541,-46535830,13540,-58
535840,13539,-60535850,13546,-45
535860,13536,-52535870,13542,-40
535880,13540,-46535890,13538,-49
535900,13537,-47535910,13537,-50
535920,13532,-56535930,13546,-40
535940,13535,-57535950,13542,-49
535960,13546,-42535970,13536,-50
535980,13540,-42535990,13541,-46
536000,13536,-42536010,13549,-37
536020,13528,-42536030,13533,-45
536040,13530,-45536050,13529,-54
536060,13529,-51536070,13526,-46
536080,13500,-50536090,13494,-43
536100,13506,-43536110,13513,-56
536120,13512,-49536130,13507,-54
536140,13504,-50536150,13514,-39
536160,13527,-52536170,13541,-44
536180,13544,-49536190,13554,-37
536200,13545,-47536210,13544,-43
536220,13535,-42536230,13541,-49
536240,13529,-42536250,13545,-50
536260,13538,-38536270,13537,-46
536280,13546,-44536290,13544,-54
536300,13548,-46536310,13542,-44
536320,13546,-47536330,13546,-47
536340,13530,-48536350,13532,-52
536360,13536,-55536370,13527,-51
536380,13532,-43536390,13531,-54
536400,13526,-47536410,13542,-53
536420,13533,-58536430,13542,-46
536440,13531,-50536450,13531,-46
536460,13547,-50536470,13527,-56
536480,13543,-49536490,13551,-38
536500,13529,-50536510,13526,-52
536520,13542,-49536530,13541,-42
536540,13545,-54536550,13542,-46
536560,13547,-47536570,13544,-45
536580,13551,-49536590,13539,-47
536600,13551,-49536610,13528,-43
536620,13549,-51536630,13532,-51
536640,13538,-42536650,13536,-44
536660,13542,-45536670,13539,-46
536680,13540,-51536690,13546,-47
536700,13530,-53536710,13541,-45
536720,13530,-52536730,13538,-53
536740,13540,-51536750,13541,-51
536760,13533,-36536770,13543,-50
536780,13538,-51536790,13537,-46
536800,13543,-50536810,13539,-45
536820,13541,-47536830,13537,-46
536840,13544,-47536850,13528,-45
536860,13540,-50536870,13531,-50
536880,13538,-59536890,13542,-45
536900,13543,-52536910,13534,-52
536920,13531,-53536930,13538,-53
536940,13538,-48536950,13541,-49
536960,13538,-49536970,13526,-50
536980,13536,-56536990,13527,-51
537000,13541,-52537010,13543,-43
537020,13538,-44537030,13542,-47
537040,13541,-48537050,13549,-45
537060,13525,-46537070,13514,-47
537080,13508,-45537090,13494,-51
537100,13489,-43537110,13484,-47
537120,13489,-48537130,13486,-49
537140,13483,-45537150,13504,-57
537160,13505,-40537170,13522,-51
537180,13533,-43537190,13548,-45
537200,13544,-48537210,13545,-47
537220,13560,-55537230,13541,-58
537240,13545,-50537250,13534,-49
537260,13543,-45537270,13525,-53
537280,13545,-50537290,13546,-48
537300,13535,-49537310,13537,-54
537320,13534,-42537330,13544,-51
537340,13540,-52537350,13543,-42
537360,13538,-51537370,13549,-45
537380,13540,-44537390,13537,-49
537400,13537,-54537410,13544,-50
537420,13537,-51537430,13526,-50
537440,13537,-50537450,13538,-41
537460,13539,-60537470,13531,-45
537480,13547,-52537490,13538,-54
537500,13522,-46537510,13545,-52
537520,13538,-49537530,13522,-43
537540,13548,-50537550,13553,-50
537560,13532,-42537570,13553,-42
537580,13534,-47537590,13535,-49
537600,13540,-46537610,13546,-51
537620,13549,-49537630,13538,-47
537640,13538,-46537650,13532,-55
537660,13524,-51537670,13538,-47
537680,13528,-61537690,13531,-51
537700,13542,-44537710,13533,-55
537720,13531,-35537730,13533,-48
537740,13539,-52537750,13531,-45
537760,13531,-45537770,13536,-45
537780,13539,-44537790,13538,-41
537800,13524,-47537810,13548,-36
537820,13545,-59537830,13529,-41
537840,13539,-41537850,13545,-42
537860,13542,-45537870,13533,-56
537880,13541,-42537890,13534,-47
537900,13543,-53537910,13537,-41
537920,13538,-50537930,13530,-52
537940,13534,-39537950,13554,-46
537960,13543,-45537970,13533,-53
537980,13539,-45537990,13531,-48
538000,13540,-56538010,13536,-49
538020,13532,-52538030,13550,-58
538040,13533,-46538050,13531,-55
538060,13515,-45538070,13507,-58
538080,13504,-49538090,13505,-51
538100,13503,-50538110,13495,-52
538120,13495,-48538130,13490,-51
538140,13495,-50538150,13519,-50
538160,13540,-55538170,13531,-48
538180,13533,-51538190,13546,-51
538200,13545,-40538210,13549,-46
538220,13538,-50538230,13540,-47
538240,13536,-42538250,13545,-50
538260,13544,-45538270,13549,-46
538280,13544,-50538290,13535,-36
538300,13526,-49538310,13553,-44
538320,13543,-44538330,13541,-57
538340,13535,-53538350,13532,-48
538360,13533,-51538370,13545,-51
538380,13533,-59538390,13518,-51
538400,13541,-51538410,13537,-47
538420,13534,-52538430,13533,-45
538440,13532,-56538450,13541,-45
538460,13540,-57538470,13527,-53
538480,13545,-47538490,13534,-44
538500,13525,-43538510,13539,-49
538520,13536,-40538530,13538,-48
538540,13530,-46538550,13535,-47
538560,13535,-47538570,13534,-48
538580,13544,-44538590,13533,-46
538600,13536,-44538610,13539,-56
538620,13544,-59538630,13520,-58
538640,13530,-53538650,13537,-43
538660,13530,-50538670,13540,-46
538680,13529,-46538690,13531,-49
538700,13533,-47538710,13531,-52
538720,13530,-46538730,13532,-50
538740,13535,-49538750,13552,-42
538760,13540,-55538770,13530,-57
538780,13530,-43538790,13521,-53
538800,13536,-52538810,13544,-46
538820,13526,-60538830,13532,-52
538840,13542,-59538850,13519,-44
538860,13523,-49538870,13529,-48
538880,13538,-54538890,13544,-48
538900,13527,-52538910,13512,-52
538920,13531,-49538930,13529,-46
538940,13534,-44538950,13536,-51
538960,13534,-51538970,13531,-50
538980,13529,-51538990,13528,-45
539000,13533,-47539010,13539,-44
539020,13534,-51539030,13532,-56
539040,13545,-45539050,13529,-44
539060,13507,-53539070,13505,-53
539080,13487,-48539090,13477,-44
539100,13489,-44539110,13486,-48
539120,13478,-51539130,13490,-49
539140,13497,-50539150,13509,-45
539160,13518,-48539170,13553,-46
539180,13549,-45539190,13541,-47
539200,13556,-48539210,13544,-44
539220,13554,-50539230,13543,-52
539240,13547,-52539250,13530,-49
539260,13553,-45539270,13535,-57
539280,13532,-48539290,13536,-49
539300,13538,-52539310,13540,-54
539320,13547,-51539330,13530,-47
539340,13539,-52539350,13525,-48
539360,13528,-50539370,13539,-53
539380,13536,-55539390,13546,-54
539400,13547,-50539410,13527,-56
539420,13528,-53539430,13532,-52
539440,13517,-43539450,13541,-60
539460,13546,-47539470,13536,-49
539480,13540,-52539490,13534,-54
539500,13544,-43539510,13549,-50
539520,13543,-54539530,13544,-58
539540,13532,-48539550,13542,-50
539560,13533,-48539570,13538,-46
539580,13536,-52539590,13524,-55
539600,13543,-50539610,13538,-42
539620,13551,-41539630,13537,-50
539640,13539,-55539650,13547,-48
539660,13538,-41539670,13553,-41
539680,13534,-46539690,13547,-46
539700,13538,-51539710,13523,-50
539720,13538,-45539730,13550,-41
539740,13536,-44539750,13542,-58
539760,13532,-44539770,13535,-45
539780,13533,-48539790,13527,-47
539800,13548,-48539810,13534,-42
539820,13532,-54539830,13529,-46
539840,13538,-40539850,13536,-45
539860,13531,-55539870,13543,-46
539880,13525,-47539890,13529,-50
539900,13548,-49539910,13544,-54
539920,13541,-45539930,13531,-38
539940,13530,-55539950,13530,-48
539960,13541,-48539970,13533,-49
539980,13543,-46539990,13535,-48
540000,13528,-49540010,13524,-51
540020,13528,-53540030,13543,-49
540040,13527,-49540050,13533,-49
540060,13522,-57540070,13505,-53
540080,13497,-47540090,13493,-54
540100,13505,-61540110,13500,-50
540120,13499,-50540130,13488,-55
540140,13515,-47540150,13517,-51
540160,13530,-54540170,13536,-52
540180,13534,-57540190,13530,-53
540200,13548,-52540210,13536,-51
540220,13543,-48540230,13548,-50
540240,13521,-45540250,13530,-48
540260,13535,-47540270,13539,-53
540280,13530,-51540290,13534,-56
540300,13537,-55540310,13536,-43
540320,13533,-49540330,13537,-57
540340,13539,-47540350,13526,-50
540360,13530,-46540370,13540,-44
540380,13535,-57540390,13534,-54
540400,13537,-48540410,13548,-56
540420,13536,-52540430,13536,-47
540440,13532,-52540450,13541,-49
540460,13545,-50540470,13541,-57
540480,13541,-51540490,13534,-45
540500,13549,-49540510,13551,-53
540520,13545,-45540530,13530,-54
540540,13535,-45540550,13552,-52
540560,13540,-41540570,13550,-50
540580,13537,-54540590,13538,-50
540600,13537,-52540610,13536,-42
540620,13537,-48540630,13529,-42
540640,13541,-49540650,13524,-50
540660,13536,-55540670,13539,-46
540680,13528,-44540690,13536,-52
540700,13530,-41540710,13539,-47
540720,13538,-51540730,13535,-41
540740,13528,-44540750,13537,-58
540760,13531,-56540770,13543,-51
540780,13547,-51540790,13544,-51
540800,13536,-54540810,13539,-54
540820,13540,-40540830,13543,-50
540840,13531,-47540850,13553,-54
540860,13529,-54540870,13551,-42
540880,13524,-53540890,13533,-51
540900,13533,-49540910,13537,-47
540920,13534,-47540930,13526,-46
540940,13529,-52540950,13530,-60
540960,13526,-44540970,13536,-59
540980,13538,-49540990,13529,-55
541000,13532,-54541010,13528,-56
541020,13549,-54541030,13529,-46
541040,13534,-53541050,13518,-42
541060,13492,-51541070,13495,-54
541080,13474,-45541090,13479,-48
541100,13471,-52541110,13476,-52
541120,13483,-54541130,13489,-52
541140,13489,-51541150,13513,-48
541160,13524,-55541170,13531,-39
541180,13544,-55541190,13542,-43
541200,13529,-54541210,13539,-47
541220,13536,-58541230,13531,-48
541240,13533,-46541250,13541,-51
541260,13538,-61541270,13533,-50
541280,13546,-51541290,13526,-47
541300,13527,-54541310,13531,-52
