32-1,2626664,-1266
32-2,2630570,1317
32-3,2634476,3062
32-4,2638382,260
32-5,2642288,-2530
32-6,2646194,-60
32-7,2650100,2414
32-8,2654006,2261
32-9,2657912,2006
32-10,2661818,2562
32-11,2665724,2312
32-12,2669630,-718
32-13,2673536,-1630
32-14,2677442,1153
32-15,2681348,2342
32-16,2685254,1875
32-17,2689160,1689
32-18,2693066,2391
32-19,2696972,1136
32-20,2700878,-2378
32-21,2704784,-1678
32-22,2708690,1412
32-23,2712596,1983
32-24,2716502,1483
32-25,2720408,1911
32-26,2724314,2107
32-27,2728220,-315
32-28,2732126,-967
32-29,2736032,-2306
32-30,2739938,-9169
32-31,2743844,-10042
32-32,2747750,-3854
32-1,2751662,328
32-2,2755568,1765
32-3,2759474,-892
32-4,2763380,-2369
32-5,2767286,824
32-6,2771192,2390
32-7,2775098,1990
32-8,2779004,1919
32-9,2782910,2456
32-10,2786816,1446
32-11,2790722,-1423
32-12,2794628,-839
32-13,2798534,1694
32-14,2802440,2102
32-15,2806346,1646
32-16,2810252,1744
32-17,2814158,2392
32-18,2818064,-39
32-19,2821970,-3292
32-20,2825876,-1228
32-21,2829782,1636
32-22,2833688,1799
32-23,2837594,1272
32-24,2841500,1621
32-25,2845406,2347
32-26,2849312,-2381
32-27,2853218,-6469
32-28,2857124,-1316
32-29,2861030,-899
32-30,2864936,-9479
32-31,2868842,-10481
32-32,2872748,-3136
32-1,2876659,-565
32-2,2880565,-3238
32-3,2884471,-2409
32-4,2888377,1246
32-5,2892283,2426
32-6,2896189,2089
32-7,2900095,2263
32-8,2904001,2607
32-9,2907907,1077
32-10,2911813,-600
32-11,2915719,906
32-12,2919625,2374
32-13,2923531,2140
32-14,2927437,1893
32-15,2931343,2178
32-16,2935249,2080
32-17,2939155,-184
32-18,2943061,-1007
32-19,2946967,1164
32-20,2950873,2020
32-21,2954779,1584
32-22,2958685,1477
32-23,2962591,1917
32-24,2966497,1133
32-25,2970403,-738
32-26,2974309,-313
32-27,2978215,940
32-28,2982121,2596
32-29,2986027,-347
32-30,2989933,-9202
32-31,2993839,-8490
32-32,2997745,-5220
32-1,3001657,-13836
32-2,3005563,-19247
32-3,3009469,-16801
32-4,3013375,-15434
32-5,3017281,-13617
32-6,3021187,-9386
32-7,3025093,-4855
32-8,3028999,-5222
32-9,3032905,-6989
32-10,3036811,-3638
32-11,3040717,327
32-12,3044623,2537
32-13,3048529,3156
32-14,3052435,4576
32-15,3056341,5098
32-16,3060247,-4861
32-17,3064153,-15616
32-18,3068059,-15600
32-19,3071965,-13892
32-20,3075871,-13990
32-21,3079777,-12447
32-22,3083683,-9271
32-23,3087589,-7862
32-24,3091495,-10967
32-25,3095401,-12779
32-26,3099307,-11788
32-27,3103213,-11151
32-28,3107119,-9445
32-29,3111025,-8784
32-30,3114931,-10194
32-31,3118837,-10381
32-32,3122743,-9793
32-1,3126746,-9697
32-2,3130652,-9479
32-3,3134558,-9225
32-4,3138464,-9046
32-5,3142370,-8632
32-6,3146276,-8090
32-7,3150182,-7850
32-8,3154088,-7840
32-9,3157994,-7731
32-10,3161900,-7441
32-11,3165806,-7124
32-12,3169712,-6721
32-13,3173618,-5649
32-14,3177524,-4992
32-15,3181430,-5732
32-16,3185336,-6201
32-17,3189242,-5915
32-18,3193148,-5662
32-19,3197054,-5419
32-20,3200960,-4795
32-21,3204866,-3728
32-22,3208772,-3621
32-23,3212678,-4514
32-24,3216584,-4681
32-25,3220490,-4360
32-26,3224396,-4313
32-27,3228302,-3945
32-28,3232208,-3122
32-29,3236114,-2945
32-30,3240020,-3421
32-31,3243926,-3389
32-32,3247832,-3131
32-1,3251652,-3121
32-2,3255558,-3024
32-3,3259464,-2904
32-4,3263370,-2795
32-5,3267276,-2620
32-6,3271182,-2442
32-7,3275088,-2334
32-8,3278994,-2263
32-9,3282900,-2131
32-10,3286806,-2005
32-11,3290712,-1854
32-12,3294618,-1611
32-13,3298524,-1419
32-14,3302430,-1366
32-15,3306336,-1372
32-16,3310242,-1333
32-17,3314148,-1218
32-18,3318054,-1102
32-19,3321960,-945
32-20,3325866,-724
32-21,3329772,-600
32-22,3333678,-579
32-23,3337584,-572
32-24,3341490,-527
32-25,3345396,-439
32-26,3349302,-337
32-27,3353208,-151
32-28,3357114,-10
32-29,3361020,4
32-30,3364926,75
32-31,3368832,133
32-32,3372738,109
32-1,3376650,148
32-2,3380556,258
32-3,3384462,370
32-4,3388368,480
32-5,3392274,590
32-6,3396180,658
32-7,3400086,649
32-8,3403992,633
32-9,3407898,661
32-10,3411804,707
32-11,3415710,782
32-12,3419616,934
32-13,3423522,1031
32-14,3427428,1017
32-15,3431334,1017
32-16,3435240,1029
32-17,3439146,1045
32-18,3443052,1099
32-19,3446958,1197
32-20,3450864,1322
32-21,3454770,1364
32-22,3458676,1344
32-23,3462582,1346
32-24,3466488,1361
32-25,3470394,1384
32-26,3474300,1432
32-27,3478206,1517
32-28,3482112,1600
32-29,3486018,1645
32-30,3489924,1656
32-31,3493830,1639
32-32,3497736,1645
32-1,3501648,1655
32-2,3505554,1667
32-3,3509460,1748
32-4,3513366,1843
32-5,3517272,1901
32-6,3521178,1884
32-7,3525084,1825
32-8,3528990,1847
32-9,3532896,1864
32-10,3536802,1863
32-11,3540708,1949
32-12,3544614,1965
32-13,3548520,1921
32-14,3552426,1932
32-15,3556332,1916
32-16,3560238,1930
32-17,3564144,1992
32-18,3568050,2047
32-19,3571956,2120
32-20,3575862,2118
32-21,3579768,2064
32-22,3583674,2060
32-23,3587580,2067
32-24,3591486,2067
32-25,3595392,2104
32-26,3599298,2225
32-27,3603204,2293
32-28,3607110,2209
32-29,3611016,2208
32-30,3614922,2289
32-31,3618828,2216
32-32,3622734,2115
32-1,3626645,2189
32-2,3630551,2298
32-3,3634457,2304
32-4,3638363,2296
32-5,3642269,2256
32-6,3646175,2194
32-7,3650081,2204
32-8,3653987,2178
32-9,3657893,2169
32-10,3661799,2260
32-11,3665705,2227
32-12,3669611,2121
32-13,3673517,2139
32-14,3677423,2190
32-15,3681329,2204
32-16,3685235,2215
32-17,3689141,2261
32-18,3693047,2325
32-19,3696953,2319
32-20,3700859,2246
32-21,3704765,2207
32-22,3708671,2227
32-23,3712577,2228
32-24,3716483,2231
32-25,3720389,2315
32-26,3724295,2339
32-27,3728201,2248
32-28,3732107,2228
32-29,3736013,2299
32-30,3739919,2289
32-31,3743825,2204
32-32,3747731,2229
32-1,3751643,2290
32-2,3755549,2246
32-3,3759455,2207
32-4,3763361,2165
32-5,3767267,2110
32-6,3771173,2105
32-7,3775079,2082
32-8,3778985,2126
32-9,3782891,2235
32-10,3786797,2213
32-11,3790703,2142
32-12,3794609,2139
32-13,3798515,2155
32-14,3802421,2126
32-15,3806327,2090
32-16,3810233,2160
32-17,3814139,2232
32-18,3818045,2152
32-19,3821951,2045
32-20,3825857,2039
32-21,3829763,2056
32-22,3833669,2005
32-23,3837575,1976
32-24,3841481,2034
32-25,3845387,2055
32-26,3849293,2004
32-27,3853199,1930
32-28,3857105,1910
32-29,3861011,2002
32-30,3864917,2043
32-31,3868823,1985
32-32,3872729,1972
32-1,3876763,1985
32-2,3880669,1971
32-3,3884575,1916
32-4,3888481,1850
32-5,3892387,1844
32-6,3896293,1860
32-7,3900199,1898
32-8,3904105,1924
32-9,3908011,1857
32-10,3911917,1793
32-11,3915823,1819
32-12,3919729,1862
32-13,3923635,1836
32-14,3927541,1822
32-15,3931447,1929
32-16,3935353,1995
32-17,3939259,1899
32-18,3943165,1798
32-19,3947071,1800
32-20,3950977,1842
32-21,3954883,1831
32-22,3958789,1828
32-23,3962695,1906
32-24,3966601,1916
32-25,3970507,1805
32-26,3974413,1748
32-27,3978319,1772
32-28,3982225,1756
32-29,3986131,1748
32-30,3990037,1780
32-31,3993943,1774
32-32,3997849,1779
32-1,4001638,1749
32-2,4005544,1614
32-3,4009450,1546
32-4,4013356,1576
32-5,4017262,1592
32-6,4021168,1619
32-7,4025074,1615
32-8,4028980,1531
32-9,4032886,1476
32-10,4036792,1466
32-11,4040698,1452
32-12,4044604,1442
32-13,4048510,1468
32-14,4052416,1530
32-15,4056322,1494
32-16,4060228,1379
32-17,4064134,1376
32-18,4068040,1416
32-19,4071946,1382
32-20,4075852,1362
32-21,4079758,1423
32-22,4083664,1497
32-23,4087570,1436
32-24,4091476,1298
32-25,4095382,1284
32-26,4099288,1356
32-27,4103194,1354
32-28,4107100,1329
32-29,4111006,1383
32-30,4114912,1439
32-31,4118818,1373
32-32,4122724,1250
32-1,4126636,1226
32-2,4130542,1264
32-3,4134448,1238
32-4,4138354,1214
32-5,4142260,1231
32-6,4146166,1230
32-7,4150072,1227
32-8,4153978,1182
32-9,4157884,1097
32-10,4161790,1090
32-11,4165696,1116
32-12,4169602,1134
32-13,4173508,1171
32-14,4177414,1141
32-15,4181320,1080
32-16,4185226,1081
32-17,4189132,1084
32-18,4193038,1076
32-19,4196944,1102
32-20,4200850,1138
32-21,4204756,1123
32-22,4208662,1033
32-23,4212568,979
32-24,4216474,998
32-25,4220380,982
32-26,4224286,975
32-27,4228192,1059
32-28,4232098,1110
32-29,4236004,1097
32-30,4239910,1084
32-31,4243816,1018
32-32,4247722,961
32-1,4251603,965
32-2,4255509,970
32-3,4259415,1021
32-4,4263321,1077
32-5,4267227,1055
32-6,4271133,1000
32-7,4275039,932
32-8,4278945,885
32-9,4282851,885
32-10,4286757,907
32-11,4290663,928
32-12,4294569,948
32-13,4298475,930
32-14,4302381,837
32-15,4306287,773
32-16,4310193,783
32-17,4314099,805
32-18,4318005,850
32-19,4321911,899
32-20,4325817,903
32-21,4329723,865
32-22,4333629,805
32-23,4337535,767
32-24,4341441,769
32-25,4345347,791
32-26,4349253,856
32-27,4353159,881
32-28,4357065,807
32-29,4360971,784
32-30,4364877,795
32-31,4368783,704
32-32,4372689,625
32-1,4376631,684
32-2,4380537,783
32-3,4384443,780
32-4,4388349,731
32-5,4392255,726
32-6,4396161,734
32-7,4400067,715
32-8,4403973,660
32-9,4407879,666
32-10,4411785,750
32-11,4415691,771
32-12,4419597,718
32-13,4423503,657
32-14,4427409,642
32-15,4431315,669
32-16,4435221,677
32-17,4439127,710
32-18,4443033,790
32-19,4446939,813
32-20,4450845,736
32-21,4454751,651
32-22,4458657,658
32-23,4462563,709
32-24,4466469,731
32-25,4470375,732
32-26,4474281,755
32-27,4478187,733
32-28,4482093,632
32-29,4485999,631
32-30,4489905,649
32-31,4493811,540
32-32,4497717,527
32-1,4501629,584
32-2,4505535,549
32-3,4509441,551
32-4,4513347,611
32-5,4517253,603
32-6,4521159,515
32-7,4525065,483
32-8,4528971,568
32-9,4532877,630
32-10,4536783,633
32-11,4540689,627
32-12,4544595,603
32-13,4548501,581
32-14,4552407,545
32-15,4556313,500
32-16,4560219,525
32-17,4564125,591
32-18,4568031,602
32-19,4571937,521
32-20,4575843,421
32-21,4579749,415
32-22,4583655,442
32-23,4587561,453
32-24,4591467,505
32-25,4595373,552
32-26,4599279,521
32-27,4603185,433
32-28,4607091,415
32-29,4610997,527
32-30,4614903,575
32-31,4618809,488
32-32,4622715,441
32-1,4626779,474
32-2,4630685,497
32-3,4634591,472
32-4,4638497,421
32-5,4642403,355
32-6,4646309,336
32-7,4650215,395
32-8,4654121,422
32-9,4658027,402
32-10,4661933,392
32-11,4665839,360
32-12,4669745,320
32-13,4673651,298
32-14,4677557,327
32-15,4681463,406
32-16,4685369,429
32-17,4689275,408
32-18,4693181,413
32-19,4697087,407
32-20,4700993,362
32-21,4704899,316
32-22,4708805,348
32-23,4712711,427
32-24,4716617,447
32-25,4720523,399
32-26,4724429,332
32-27,4728335,287
32-28,4732241,282
32-29,4736147,322
32-30,4740053,378
32-31,4743959,395
32-32,4747865,387
32-1,4751624,379
32-2,4755530,370
32-3,4759436,343
32-4,4763342,296
32-5,4767248,308
32-6,4771154,363
32-7,4775060,367
32-8,4778966,343
32-9,4782872,303
32-10,4786778,243
32-11,4790684,202
32-12,4794590,202
32-13,4798496,272
32-14,4802402,357
32-15,4806308,376
32-16,4810214,359
32-17,4814120,325
32-18,4818026,276
32-19,4821932,205
32-20,4825838,164
32-21,4829744,226
32-22,4833650,301
32-23,4837556,313
32-24,4841462,307
32-25,4845368,285
32-26,4849274,243
32-27,4853180,190
32-28,4857086,190
32-29,4860992,266
32-30,4864898,302
32-31,4868804,265
32-32,4872710,237
32-1,4876652,222
32-2,4880558,174
32-3,4884464,139
32-4,4888370,162
32-5,4892276,192
32-6,4896182,216
32-7,4900088,224
32-8,4903994,191
32-9,4907900,157
32-10,4911806,149
32-11,4915712,155
32-12,4919618,155
32-13,4923524,146
32-14,4927430,171
32-15,4931336,195
32-16,4935242,167
32-17,4939148,117
32-18,4943054,113
32-19,4946960,185
32-20,4950866,248
32-21,4954772,226
32-22,4958678,184
32-23,4962584,171
32-24,4966490,149
32-25,4970396,93
32-26,4974302,83
32-27,4978208,181
32-28,4982114,278
32-29,4986020,270
32-30,4989926,221
32-31,4993832,227
32-32,4997738,256
32-1,5001619,202
32-2,5005525,132
32-3,5009431,184
32-4,5013337,255
32-5,5017243,236
32-6,5021149,217
32-7,5025055,221
32-8,5028961,207
32-9,5032867,171
32-10,5036773,140
32-11,5040679,155
32-12,5044585,195
32-13,5048491,207
32-14,5052397,166
32-15,5056303,113
32-16,5060209,82
32-17,5064115,70
32-18,5068021,103
32-19,5071927,133
32-20,5075833,129
32-21,5079739,120
32-22,5083645,101
32-23,5087551,67
32-24,5091457,30
32-25,5095363,53
32-26,5099269,124
32-27,5103175,131
32-28,5107081,114
32-29,5110987,125
32-30,5114893,132
32-31,5118799,119
32-32,5122705,75
32-1,5126617,73
32-2,5130523,128
32-3,5134429,132
32-4,5138335,114
32-5,5142241,125
32-6,5146147,122
32-7,5150053,111
32-8,5153959,91
32-9,5157865,73
32-10,5161771,99
32-11,5165677,129
32-12,5169583,104
32-13,5173489,43
32-14,5177395,10
32-15,5181301,-2
32-16,5185207,-12
32-17,5189113,15
32-18,5193019,64
32-19,5196925,100
32-20,5200831,89
32-21,5204737,56
32-22,5208643,40
32-23,5212549,-3
32-24,5216455,-9
32-25,5220361,48
32-26,5224267,70
32-27,5228173,89
32-28,5232079,95
32-29,5235985,83
32-30,5239891,103
32-31,5243797,114
32-32,5247703,130
32-1,5251614,111
32-2,5255520,32
32-3,5259426,21
32-4,5263332,66
32-5,5267238,64
32-6,5271144,32
32-7,5275050,44
32-8,5278956,66
32-9,5282862,36
32-10,5286768,25
32-11,5290674,46
32-12,5294580,64
32-13,5298486,81
32-14,5302392,52
32-15,5306298,36
32-16,5310204,79
32-17,5314110,96
32-18,5318016,101
32-19,5321922,102
32-20,5325828,85
32-21,5329734,71
32-22,5333640,24
32-23,5337546,-11
32-24,5341452,20
32-25,5345358,65
32-26,5349264,91
32-27,5353170,63
32-28,5357076,20
32-29,5360982,53
32-30,5364888,84
32-31,5368794,41
32-32,5372700,4
32-1,5376795,21
32-2,5380701,62
32-3,5384607,88
32-4,5388513,97
32-5,5392419,92
32-6,5396325,73
32-7,5400231,48
32-8,5404137,11
32-9,5408043,-17
32-10,5411949,-11
32-11,5415855,1
32-12,5419761,-9
32-13,5423667,-33
32-14,5427573,-33
32-15,5431479,5
32-16,5435385,34
32-17,5439291,33
32-18,5443197,31
32-19,5447103,15
32-20,5451009,-42
32-21,5454915,-81
32-22,5458821,-55
32-23,5462727,0
32-24,5466633,43
32-25,5470539,46
32-26,5474445,29
32-27,5478351,18
32-28,5482257,-7
32-29,5486163,-11
32-30,5490069,3
32-31,5493975,4
32-32,5497881,25
32-1,5501701,43
32-2,5505607,38
32-3,5509513,40
32-4,5513419,54
32-5,5517325,47
32-6,5521231,-5
32-7,5525137,-34
32-8,5529043,-6
32-9,5532949,-5
32-10,5536855,-40
32-11,5540761,-67
32-12,5544667,-80
32-13,5548573,-57
32-14,5552479,-40
32-15,5556385,-66
32-16,5560291,-43
32-17,5564197,-1
32-18,5568103,-28
32-19,5572009,-56
32-20,5575915,-50
32-21,5579821,-41
32-22,5583727,-19
32-23,5587633,-1
32-24,5591539,4
32-25,5595445,14
32-26,5599351,-6
32-27,5603257,-42
32-28,5607163,-35
32-29,5611069,-1
32-30,5614975,31
32-31,5618881,33
32-32,5622787,7
32-1,5626607,-1
32-2,5630513,-10
32-3,5634419,-54
32-4,5638325,-91
32-5,5642231,-77
32-6,5646137,-24
32-7,5650043,8
32-8,5653949,-4
32-9,5657855,-20
32-10,5661761,11
32-11,5665667,46
32-12,5669573,7
32-13,5673479,-20
32-14,5677385,29
32-15,5681291,38
32-16,5685197,2
32-17,5689103,-29
32-18,5693009,-58
32-19,5696915,-43
32-20,5700821,-29
32-21,5704727,-68
32-22,5708633,-95
32-23,5712539,-58
32-24,5716445,-17
32-25,5720351,-31
32-26,5724257,-41
32-27,5728163,2
32-28,5732069,44
32-29,5735975,60
32-30,5739881,59
32-31,5743787,45
32-32,5747693,31
32-1,5751605,6
32-2,5755511,-23
32-3,5759417,-26
32-4,5763323,-25
32-5,5767229,-36
32-6,5771135,-36
32-7,5775041,-20
32-8,5778947,5
32-9,5782853,11
32-10,5786759,-24
32-11,5790665,-42
32-12,5794571,9
32-13,5798477,72
32-14,5802383,58
32-15,5806289,23
32-16,5810195,34
32-17,5814101,47
32-18,5818007,26
32-19,5821913,-14
32-20,5825819,-16
32-21,5829725,13
32-22,5833631,5
32-23,5837537,-32
32-24,5841443,-54
32-25,5845349,-48
32-26,5849255,-36
32-27,5853161,-29
32-28,5857067,14
32-29,5860973,43
32-30,5864879,33
32-31,5868785,24
32-32,5872691,25
32-1,5876603,49
32-2,5880509,45
32-3,5884415,-39
32-4,5888321,-97
32-5,5892227,-63
32-6,5896133,-7
32-7,5900039,22
32-8,5903945,24
32-9,5907851,7
32-10,5911757,-2
32-11,5915663,11
32-12,5919569,-2
32-13,5923475,-27
32-14,5927381,-20
32-15,5931287,-7
32-16,5935193,3
32-17,5939099,10
32-18,5943005,2
32-19,5946911,9
32-20,5950817,10
32-21,5954723,-9
32-22,5958629,-2
32-23,5962535,39
32-24,5966441,57
32-25,5970347,24
32-26,5974253,9
32-27,5978159,72
32-28,5982065,130
32-29,5985971,93
32-30,5989877,14
32-31,5993783,15
32-32,5997689,52
32-1,6001600,21
32-2,6005506,-11
32-3,6009412,22
32-4,6013318,43
32-5,6017224,14
32-6,6021130,7
32-7,6025036,44
32-8,6028942,44
32-9,6032848,-4
32-10,6036754,-24
32-11,6040660,3
32-12,6044566,18
32-13,6048472,13
32-14,6052378,11
32-15,6056284,8
32-16,6060190,8
32-17,6064096,37
32-18,6068002,50
32-19,6071908,13
32-20,6075814,-1
32-21,6079720,18
32-22,6083626,17
32-23,6087532,-24
32-24,6091438,-101
32-25,6095344,-135
32-26,6099250,-119
32-27,6103156,-125
32-28,6107062,-110
32-29,6110968,-68
32-30,6114874,-57
32-31,6118780,-81
32-32,6122686,-103
33-1,6123058,-70
33-2,6126964,-36
33-3,6130870,-65
33-4,6134776,-89
33-5,6138682,-68
33-6,6142588,-44
33-7,6146494,-51
33-8,6150400,-61
33-9,6154306,-38
33-10,6158212,-5
33-11,6162118,5
33-12,6166024,-7
33-13,6169930,-12
33-14,6173836,-21
33-15,6177742,-45
33-16,6181648,-54
33-17,6185554,-46
33-18,6189460,-31
33-19,6193366,-31
33-20,6197272,-79
33-21,6201178,-127
33-22,6205084,-138
33-23,6208990,-128
33-24,6212896,-112
33-25,6216802,-111
33-26,6220708,-112
33-27,6224614,-90
33-28,6228520,-67
33-29,6232426,-54
33-30,6236332,-53
33-31,6240238,-69
33-32,6244144,-75
33-33,6248050,-56
32-1,6255502,-53
32-2,6259408,-51
32-3,6263314,4
32-4,6267220,28
32-5,6271126,-29
32-6,6275032,-22
32-7,6278938,35
32-8,6282844,26
32-9,6286750,5
32-10,6290656,5
32-11,6294562,41
32-12,6298468,77
32-13,6302374,24
32-14,6306280,-10
32-15,6310186,35
32-16,6314092,43
32-17,6317998,20
32-18,6321904,11
32-19,6325810,7
32-20,6329716,-4
32-21,6333622,-21
32-22,6337528,-14
32-23,6341434,12
32-24,6345340,22
32-25,6349246,7
32-26,6353152,-28
32-27,6357058,-49
32-28,6360964,-29
32-29,6364870,-5
32-30,6368776,-8
32-31,6372682,-28
32-32,6376588,-33
32-1,6380499,-13
32-2,6384405,11
32-3,6388311,-15
32-4,6392217,-63
32-5,6396123,-51
32-6,6400029,-23
32-7,6403935,-21
32-8,6407841,16
32-9,6411747,62
32-10,6415653,35
32-11,6419559,-46
32-12,6423465,-96
32-13,6427371,-83
32-14,6431277,-60
